placebo_date,status,pre_rmspe,post_rmspe,mspe_ratio,cum_att_levels,pct_change_post,placebo_date_str
2020-01-01,optimal,29.639525634655286,1879.8825288891264,4022.7118604700454,24531.777751710382,1.3074394913137377,2020-01-01
2020-02-01,optimal,33.44038448583733,1979.5514356122876,3504.2175237988636,27120.138617211065,1.4019298500293091,2020-02-01
2020-03-01,optimal,34.19421259569124,2091.1565695999902,3739.967999784223,30473.233453816625,1.683811832584563,2020-03-01
2020-04-01,optimal,33.59975013756287,2141.2362706668077,4061.225338017596,32622.457045278523,1.7939662891999357,2020-04-01
2020-05-01,optimal,44.14191396090124,2167.9093851181256,2412.0145935975206,35099.48767356956,1.8978325599539605,2020-05-01
2020-06-01,optimal,43.22339305865527,2206.4254163229266,2605.7982659733757,37143.287060210205,1.9209680644242126,2020-06-01
2020-07-01,optimal,43.67874339157879,2241.3841683669098,2633.2514321768517,38971.68162642733,1.9441787304215024,2020-07-01
2020-08-01,optimal,43.367626111419675,2278.2845395324543,2759.844582372499,40869.98436205191,1.9624485582148865,2020-08-01
2020-09-01,optimal,42.33249746375174,2322.6511833531627,3010.3722525355934,43105.35810585056,1.9673252072711074,2020-09-01
2020-10-01,optimal,41.32124866194503,2390.1578935412226,3345.8487850091933,45866.234115818166,1.9865173541926389,2020-10-01
2020-11-01,optimal,46.03879762775869,2557.699636119135,3086.3923772009966,50450.28777322006,2.1366636730393624,2020-11-01
2020-12-01,optimal,48.58697274648794,2685.01767448234,3053.8986224197447,54473.419638520834,2.4343942979015565,2020-12-01
