date,treated_levels,synthetic_levels,is_pre,is_post
2019-01-01,520.0,593.7935458707399,1,0
2019-02-01,671.0,762.7805300817785,1,0
2019-03-01,938.0,910.8857273752564,1,0
2019-04-01,666.9999999999998,756.7559181009684,1,0
2019-05-01,684.0000000000002,710.5298368769314,1,0
2019-06-01,927.9999999999997,772.7489389468285,1,0
2019-07-01,974.0000000000001,721.6280596597848,1,0
2019-08-01,1111.0,766.0097354973349,1,0
2019-09-01,700.9999999999998,697.8353928095488,1,0
2019-10-01,664.0,739.1011585516272,1,0
2019-11-01,713.9999999999999,868.007705817435,1,0
2019-12-01,959.0000000000001,1219.328634421386,1,0
2020-01-01,901.0000000000003,881.4232647853205,1,0
2020-02-01,1159.0,1298.5625659337602,1,0
2020-03-01,1093.0,1071.6658606665387,1,0
2020-04-01,328.99999999999994,379.9426716546911,1,0
2020-05-01,281.00000000000006,262.56049558590917,1,0
2020-06-01,176.99999999999997,197.64102748871358,1,0
2020-07-01,140.00000000000003,157.06283901312153,1,0
2020-08-01,257.9999999999999,255.19925060653702,1,0
2020-09-01,386.00000000000006,307.43502468782054,1,0
2020-10-01,577.0000000000001,506.69182949277473,1,0
2020-11-01,852.0000000000001,740.0789511986861,1,0
2020-12-01,938.0,823.8486410385416,1,0
2021-01-01,905.9999999999997,760.8168574106289,0,1
2021-02-01,1360.9999999999998,835.3646791861337,0,1
2021-03-01,1680.0000000000005,749.4194341234712,0,1
2021-04-01,871.9999999999998,416.16537843191355,0,1
2021-05-01,1564.9999999999998,441.70944576892066,0,1
2021-06-01,1908.0000000000007,368.53674324787016,0,1
2021-07-01,3240.0000000000005,429.19376712139194,0,1
2021-08-01,3813.999999999997,490.22384356293077,0,1
2021-09-01,8111.0000000000055,745.5876046286,0,1
2021-10-01,6029.000000000003,650.943553088937,0,1
2021-11-01,3945.9999999999986,539.586384651758,0,1
2021-12-01,2772.0000000000005,486.86695393249306,0,1
2022-01-01,4071.0,715.1001971107328,0,1
2022-02-01,3264.9999999999973,600.4136740671869,0,1
2022-03-01,3328.999999999998,717.3347056079498,0,1
2022-04-01,3116.000000000001,786.5307227161732,0,1
2022-05-01,3165.999999999998,851.0034741251741,0,1
2022-06-01,2715.000000000001,555.8546752850691,0,1
2022-07-01,2818.9999999999986,577.9208563012494,0,1
2022-08-01,3578.0000000000005,666.8985951498436,0,1
2022-09-01,4324.999999999999,570.1466679592846,0,1
2022-10-01,5683.999999999997,879.8769506758882,0,1
2022-11-01,3640.0000000000005,642.2213732146909,0,1
2022-12-01,5487.999999999996,1004.6377194487679,0,1
