date,treated_levels,synthetic_origin_levels,synthetic_destination_levels,gap_vs_origin_levels,gap_vs_destination_levels,is_pre,is_post
2019-01-01,520.0,593.7935456813251,908.5587513507778,-73.7935456813251,-388.5587513507778,1,0
2019-02-01,671.0,762.7805297731247,831.2126908826972,-91.78052977312473,-160.2126908826972,1,0
2019-03-01,938.0,910.8857272516549,1014.3545513192392,27.114272748345115,-76.35455131923925,1,0
2019-04-01,666.9999999999998,756.7559178752953,871.8843393522379,-89.7559178752955,-204.88433935223816,1,0
2019-05-01,684.0000000000002,710.5298366403956,1053.453385401733,-26.529836640395388,-369.4533854017327,1,0
2019-06-01,927.9999999999997,772.7489386913601,1326.2593274176008,155.25106130863958,-398.2593274176012,1,0
2019-07-01,974.0000000000001,721.6280594506334,1676.310700364472,252.37194054936674,-702.3107003644719,1,0
2019-08-01,1111.0,766.0097353532216,1794.7040413951308,344.9902646467784,-683.7040413951308,1,0
2019-09-01,700.9999999999998,697.8353927073788,1136.8360095033522,3.1646072926209854,-435.83600950335244,1,0
2019-10-01,664.0,739.1011584401269,920.5116027219154,-75.10115844012694,-256.51160272191544,1,0
2019-11-01,713.9999999999999,868.0077055982974,855.0451707237581,-154.00770559829755,-141.04517072375825,1,0
2019-12-01,959.0000000000001,1219.3286346775162,1117.0376909520608,-260.3286346775161,-158.03769095206064,1,0
2020-01-01,901.0000000000003,881.4232648909496,1024.025705840987,19.576735109050787,-123.02570584098669,1,0
2020-02-01,1159.0,1298.5625662527273,1355.5865008191365,-139.56256625272727,-196.58650081913652,1,0
2020-03-01,1093.0,1071.6658606817468,1141.5544779283493,21.334139318253165,-48.55447792834934,1,0
2020-04-01,328.99999999999994,379.9426716325146,298.20644555738795,-50.942671632514646,30.793554442611992,1,0
2020-05-01,281.00000000000006,262.5604956571108,284.208440822872,18.43950434288928,-3.2084408228719212,1,0
2020-06-01,176.99999999999997,197.64102748677377,311.9936009490372,-20.641027486773794,-134.99360094903724,1,0
2020-07-01,140.00000000000003,157.06283906183518,221.07907987324873,-17.06283906183515,-81.0790798732487,1,0
2020-08-01,257.9999999999999,255.19925055462681,364.42707046056205,2.8007494453730715,-106.42707046056216,1,0
2020-09-01,386.00000000000006,307.43502472452457,489.18362364328965,78.56497527547549,-103.1836236432896,1,0
2020-10-01,577.0000000000001,506.69182965502057,491.91467747056333,70.30817034497954,85.08532252943678,1,0
2020-11-01,852.0000000000001,740.078951266312,626.2643208427546,111.92104873368817,225.7356791572455,1,0
2020-12-01,938.0,823.848641139368,498.12694420964567,114.15135886063194,439.87305579035433,1,0
2021-01-01,905.9999999999997,760.8168577425041,442.6031212757971,145.18314225749555,463.39687872420257,0,1
2021-02-01,1360.9999999999998,835.3646794371197,816.099726705534,525.6353205628801,544.9002732944658,0,1
2021-03-01,1680.0000000000005,749.4194343027588,959.1133471602365,930.5805656972417,720.886652839764,0,1
2021-04-01,871.9999999999998,416.1653786106433,556.8448487858655,455.83462138935647,315.1551512141343,0,1
2021-05-01,1564.9999999999998,441.70944584384426,849.1069085616592,1123.2905541561554,715.8930914383405,0,1
2021-06-01,1908.0000000000007,368.53674341289155,752.6079043762686,1539.463256587109,1155.392095623732,0,1
2021-07-01,3240.0000000000005,429.19376730705045,764.3435144609239,2810.80623269295,2475.6564855390766,0,1
2021-08-01,3813.999999999997,490.2238437679398,1318.5375686686216,3323.776156232057,2495.4624313313752,0,1
2021-09-01,8111.0000000000055,745.5876048317994,2427.4451125297883,7365.412395168206,5683.554887470217,0,1
2021-10-01,6029.000000000003,650.9435532196344,2056.202592624668,5378.056446780369,3972.797407375335,0,1
2021-11-01,3945.9999999999986,539.5863846864214,1682.3538190050951,3406.4136153135773,2263.6461809949033,0,1
2021-12-01,2772.0000000000005,486.8669540458923,1081.3842979781227,2285.133045954108,1690.6157020218777,0,1
2022-01-01,4071.0,715.1001972424866,1787.7755698072267,3355.8998027575135,2283.224430192773,0,1
2022-02-01,3264.9999999999973,600.4136739626257,1766.5223301502663,2664.5863260373717,1498.477669849731,0,1
2022-03-01,3328.999999999998,717.3347057936609,1842.8519332567005,2611.6652942063374,1486.1480667432977,0,1
2022-04-01,3116.000000000001,786.5307229080092,1951.0156756711563,2329.469277091992,1164.9843243288447,0,1
2022-05-01,3165.999999999998,851.0034745210852,2053.9839898968617,2314.996525478913,1112.0160101031365,0,1
2022-06-01,2715.000000000001,555.8546756570939,1696.809777843467,2159.145324342907,1018.190222156534,0,1
2022-07-01,2818.9999999999986,577.9208566550452,1894.7520221642612,2241.0791433449535,924.2479778357374,0,1
2022-08-01,3578.0000000000005,666.8985955977598,3134.644421254593,2911.1014044022404,443.35557874540746,0,1
2022-09-01,4324.999999999999,570.146668368161,3034.2691725176933,3754.853331631838,1290.7308274823058,0,1
2022-10-01,5683.999999999997,879.8769510953684,3259.230642628274,4804.123048904628,2424.7693573717233,0,1
2022-11-01,3640.0000000000005,642.2213735493808,1822.5594704796763,2997.7786264506194,1817.4405295203242,0,1
2022-12-01,5487.999999999996,1004.6377199902993,2292.7550084606837,4483.362280009697,3195.2449915393127,0,1
