date,gap_model_scale,gap_levels,is_pre,is_post
2019-01-01,-96.8971540219369,-96.8971540219369,1,0
2019-02-01,17.668515658665115,17.668515658665115,1,0
2019-03-01,33.88878555465203,33.88878555465203,1,0
2019-04-01,-52.72111390706107,-52.72111390706107,1,0
2019-05-01,-43.70194441339822,-43.70194441339822,1,0
2019-06-01,55.49448861124631,55.49448861124631,1,0
2019-07-01,-68.3986248818751,-68.3986248818751,1,0
2019-08-01,29.73389990562282,29.73389990562282,1,0
2019-09-01,-24.024971002260713,-24.024971002260713,1,0
2019-10-01,-33.75676447607782,-33.75676447607782,1,0
2019-11-01,-42.901269826085354,-42.901269826085354,1,0
2019-12-01,-93.31325316280117,-93.31325316280117,1,0
2020-01-01,72.76265426510031,72.76265426510031,1,0
2020-02-01,8.163187146546989,8.163187146546989,1,0
2020-03-01,88.85123962913235,88.85123962913235,1,0
2020-04-01,-45.75724765739642,-45.75724765739642,1,0
2020-05-01,9.351514554545759,9.351514554545759,1,0
2020-06-01,-41.99707221144482,-41.99707221144482,1,0
2020-07-01,-39.74063181794344,-39.74063181794344,1,0
2020-08-01,-34.613021091103576,-34.613021091103576,1,0
2020-09-01,-12.16586999539902,-12.16586999539902,1,0
2020-10-01,31.34356238535065,31.34356238535065,1,0
2020-11-01,50.9930551870558,50.9930551870558,1,0
2020-12-01,31.466259039682654,31.466259039682654,1,0
2021-01-01,121.4366072259744,121.4366072259744,0,1
2021-02-01,514.0110891334033,514.0110891334033,0,1
2021-03-01,839.1482388304817,839.1482388304817,0,1
2021-04-01,343.92724823000106,343.92724823000106,0,1
2021-05-01,925.1485582431673,925.1485582431673,0,1
2021-06-01,1279.6385288495248,1279.6385288495248,0,1
2021-07-01,2459.0222418667768,2459.0222418667768,0,1
2021-08-01,2817.4464187794993,2817.4464187794993,0,1
2021-09-01,6486.596264937774,6486.596264937774,0,1
2021-10-01,4705.5711215970505,4705.5711215970505,0,1
2021-11-01,2924.0536278593236,2924.0536278593236,0,1
2021-12-01,2093.7794877906485,2093.7794877906485,0,1
2022-01-01,3155.079130556394,3155.079130556394,0,1
2022-02-01,2378.2258293419545,2378.2258293419545,0,1
2022-03-01,2386.8222096761997,2386.8222096761997,0,1
2022-04-01,2098.614150604765,2098.614150604765,0,1
2022-05-01,2121.303240971722,2121.303240971722,0,1
2022-06-01,1885.4764708969838,1885.4764708969838,0,1
2022-07-01,1980.8762880404647,1980.8762880404647,0,1
2022-08-01,2325.8460152664447,2325.8460152664447,0,1
2022-09-01,2956.038697161858,2956.038697161858,0,1
2022-10-01,4107.158886667068,4107.158886667068,0,1
2022-11-01,2774.419520975877,2774.419520975877,0,1
2022-12-01,4295.761811939831,4295.761811939831,0,1
