date,share,pretrend_projection,is_pre,is_post,beta_post,p_post,beta_trend,p_trend
2019-01-01,0.0034438682587934542,0.0037938562958978396,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-02-01,0.003912011800166742,0.0038706348732544605,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-03-01,0.0042932402063318425,0.003947413450611081,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-04-01,0.003481992305162432,0.004024192027967701,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-05-01,0.0034318398474737846,0.004100970605324323,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-06-01,0.004175515640185738,0.004177749182680943,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-07-01,0.0039089150553428525,0.004254527760037563,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-08-01,0.004553222706278202,0.004331306337394185,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-09-01,0.004016823672328039,0.004408084914750805,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-10-01,0.004241429310576106,0.0044848634921074255,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-11-01,0.004949980241675506,0.004561642069464047,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2019-12-01,0.005945738164323091,0.004638420646820667,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2020-01-01,0.006250953946911987,0.004715199224177288,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2020-02-01,0.006236916735278132,0.004791977801533909,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2020-03-01,0.006380246337049793,0.004868756378890529,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2020-04-01,0.004479115612917279,0.00494553495624715,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
2020-05-01,0.004990764421710713,0.005022313533603771,1,0,0.005744127781388631,0.02944264828175944,5.5829520542281504e-05,0.4457332596996455
