donor,weight,group
CL->EC,0.2695453281138665,origin
CL->CO,0.1726566848588582,origin
NP->US,0.1389963530541989,destination
CL->MX,0.13141243579481038,origin
TH->US,0.11407966904404095,destination
TW->US,0.11147890297456785,destination
BD->US,0.035445075066448874,destination
CL->AR,0.026385551073058535,origin
TR->US,1.062188974053883e-11,destination
CL->VE,9.527964214415082e-12,origin
PK->US,0.0,destination
ES->US,0.0,destination
CL->BO,0.0,origin
CL->BR,0.0,origin
NG->US,0.0,destination
JM->US,0.0,destination
CL->ES,0.0,origin
IT->US,0.0,destination
CL->PE,0.0,origin
