date,treated_levels,synthetic_levels,is_pre,is_post
2019-01-01,520.0,908.5587511834857,1,0
2019-02-01,671.0,831.2126907510761,1,0
2019-03-01,938.0,1014.3545512475259,1,0
2019-04-01,666.9999999999998,871.88433945439,1,0
2019-05-01,684.0000000000002,1053.4533855710195,1,0
2019-06-01,927.9999999999997,1326.2593272207434,1,0
2019-07-01,974.0000000000001,1676.3107005777388,1,0
2019-08-01,1111.0,1794.704041655212,1,0
2019-09-01,700.9999999999998,1136.8360091779346,1,0
2019-10-01,664.0,920.511602683355,1,0
2019-11-01,713.9999999999999,855.0451707410281,1,0
2019-12-01,959.0000000000001,1117.037691174853,1,0
2020-01-01,901.0000000000003,1024.025706056979,1,0
2020-02-01,1159.0,1355.5865013642003,1,0
2020-03-01,1093.0,1141.554478371635,1,0
2020-04-01,328.99999999999994,298.206445582616,1,0
2020-05-01,281.00000000000006,284.20844082459604,1,0
2020-06-01,176.99999999999997,311.99360092009306,1,0
2020-07-01,140.00000000000003,221.07907978997568,1,0
2020-08-01,257.9999999999999,364.42707027905004,1,0
2020-09-01,386.00000000000006,489.18362340976734,1,0
2020-10-01,577.0000000000001,491.9146772646656,1,0
2020-11-01,852.0000000000001,626.2643206122461,1,0
2020-12-01,938.0,498.12694397135164,1,0
2021-01-01,905.9999999999997,442.60312118771236,0,1
2021-02-01,1360.9999999999998,816.0997268954786,0,1
2021-03-01,1680.0000000000005,959.1133475180094,0,1
2021-04-01,871.9999999999998,556.8448489338601,0,1
2021-05-01,1564.9999999999998,849.1069088177106,0,1
2021-06-01,1908.0000000000007,752.6079047005992,0,1
2021-07-01,3240.0000000000005,764.3435143543353,0,1
2021-08-01,3813.999999999997,1318.537568744946,0,1
2021-09-01,8111.0000000000055,2427.445112937976,0,1
2021-10-01,6029.000000000003,2056.2025928621056,0,1
2021-11-01,3945.9999999999986,1682.3538190734744,0,1
2021-12-01,2772.0000000000005,1081.38429791315,0,1
2022-01-01,4071.0,1787.775570436741,0,1
2022-02-01,3264.9999999999973,1766.522330736828,0,1
2022-03-01,3328.999999999998,1842.851933483855,0,1
2022-04-01,3116.000000000001,1951.0156761081068,0,1
2022-05-01,3165.999999999998,2053.98398951939,0,1
2022-06-01,2715.000000000001,1696.8097771160415,0,1
2022-07-01,2818.9999999999986,1894.7520211097842,0,1
2022-08-01,3578.0000000000005,3134.644420646814,0,1
2022-09-01,4324.999999999999,3034.269172844771,0,1
2022-10-01,5683.999999999997,3259.230643726994,0,1
2022-11-01,3640.0000000000005,1822.559470381286,0,1
2022-12-01,5487.999999999996,2292.755008023941,0,1
