date,treated_levels,synthetic_levels,is_pre,is_post,left_out_donor
2019-01-01,520.0,583.8955912774728,1,0,CL->CO
2019-02-01,671.0,671.8584492391277,1,0,CL->CO
2019-03-01,938.0,896.2249942727984,1,0,CL->CO
2019-04-01,666.9999999999998,761.9354738421806,1,0,CL->CO
2019-05-01,684.0000000000002,721.2060451391636,1,0,CL->CO
2019-06-01,927.9999999999997,826.7246079301152,1,0,CL->CO
2019-07-01,974.0000000000001,919.6275364521819,1,0,CL->CO
2019-08-01,1111.0,955.999091176379,1,0,CL->CO
2019-09-01,700.9999999999998,705.7371798638162,1,0,CL->CO
2019-10-01,664.0,700.1188795386788,1,0,CL->CO
2019-11-01,713.9999999999999,737.450470935901,1,0,CL->CO
2019-12-01,959.0000000000001,1047.5415120578675,1,0,CL->CO
2020-01-01,901.0000000000003,883.572290851416,1,0,CL->CO
2020-02-01,1159.0,1194.3556910825462,1,0,CL->CO
2020-03-01,1093.0,1022.5653034286873,1,0,CL->CO
2020-04-01,328.99999999999994,373.3788446857872,1,0,CL->CO
2020-05-01,281.00000000000006,254.05254652244116,1,0,CL->CO
2020-06-01,176.99999999999997,187.38669702965984,1,0,CL->CO
2020-07-01,140.00000000000003,150.82346865806403,1,0,CL->CO
2020-08-01,257.9999999999999,300.51479013128534,1,0,CL->CO
2020-09-01,386.00000000000006,406.8150174302788,1,0,CL->CO
2020-10-01,577.0000000000001,564.1436125069687,1,0,CL->CO
2020-11-01,852.0000000000001,705.5170827649325,1,0,CL->CO
2020-12-01,938.0,767.1524605108369,1,0,CL->CO
2021-01-01,905.9999999999997,723.0174267678924,0,1,CL->CO
2021-02-01,1360.9999999999998,991.6232559098808,0,1,CL->CO
2021-03-01,1680.0000000000005,928.0608277368475,0,1,CL->CO
2021-04-01,871.9999999999998,607.3043748095787,0,1,CL->CO
2021-05-01,1564.9999999999998,740.5480663748942,0,1,CL->CO
2021-06-01,1908.0000000000007,689.8474035458933,0,1,CL->CO
2021-07-01,3240.0000000000005,857.8218326771546,0,1,CL->CO
2021-08-01,3813.999999999997,904.2129384837102,0,1,CL->CO
2021-09-01,8111.0000000000055,1477.7698237205514,0,1,CL->CO
2021-10-01,6029.000000000003,1188.0292889225364,0,1,CL->CO
2021-11-01,3945.9999999999986,881.9419721210694,0,1,CL->CO
2021-12-01,2772.0000000000005,756.015105787027,0,1,CL->CO
2022-01-01,4071.0,1020.5192206006114,0,1,CL->CO
2022-02-01,3264.9999999999973,935.5012146736212,0,1,CL->CO
2022-03-01,3328.999999999998,1096.001010455439,0,1,CL->CO
2022-04-01,3116.000000000001,1235.2394723421608,0,1,CL->CO
2022-05-01,3165.999999999998,1424.23189297002,0,1,CL->CO
2022-06-01,2715.000000000001,1012.8503261013925,0,1,CL->CO
2022-07-01,2818.9999999999986,1036.2398055192768,0,1,CL->CO
2022-08-01,3578.0000000000005,1343.113093318867,0,1,CL->CO
2022-09-01,4324.999999999999,1439.653796916689,0,1,CL->CO
2022-10-01,5683.999999999997,1791.5864774798426,0,1,CL->CO
2022-11-01,3640.0000000000005,1135.7303086420723,0,1,CL->CO
2022-12-01,5487.999999999996,1663.128203188452,0,1,CL->CO
