donor,weight,group
CL->BR,0.5112335623153731,origin
CL->ES,0.28756592319493174,origin
CL->CO,0.10795601756687273,origin
CL->PE,0.09324449692282236,origin
CL->AR,0.0,origin
CL->BO,0.0,origin
CL->CA,0.0,origin
CL->EC,0.0,origin
CL->MX,0.0,origin
CL->VE,0.0,origin
