placebo_date,status,pre_rmspe,post_rmspe,mspe_ratio,cum_att_levels,pct_change_post,placebo_date_str
2020-01-01,optimal,0.044394477457302656,0.8049878109650656,328.7915984065772,25664.060376113855,1.4556263547828474,2020-01-01
2020-02-01,optimal,0.047767509350543844,0.8295480340905467,301.5906561348508,27928.681523420826,1.5067005650938183,2020-02-01
2020-03-01,optimal,0.04621841431066572,0.8869295087383997,368.2545537121431,30670.661566517134,1.7134123849383303,2020-03-01
2020-04-01,optimal,0.04488182196662361,0.9149425315497774,415.5723798078658,32786.51208637405,1.8194020186092172,2020-04-01
2020-05-01,optimal,0.057777563939245095,0.9366768545122159,262.82164177100157,35787.351541978875,2.009774698834929,2020-05-01
2020-06-01,optimal,0.05689341272850573,0.9851169534949544,299.81379740589125,38194.40453146887,2.088884306858399,2020-06-01
2020-07-01,optimal,0.0658797663859273,0.9917007467310373,226.59857764161123,39644.155089666005,2.04637755957664,2020-07-01
2020-08-01,optimal,0.06413059485233187,1.0151263026856332,250.55877953068594,41491.521888454605,2.053580481484707,2020-08-01
2020-09-01,optimal,0.06264851375593768,1.0398848970981136,275.51737778135276,43847.335061575905,2.0713320934088215,2020-09-01
2020-10-01,optimal,0.06223256975586226,1.0524524242550521,286.0022675161189,46420.004937932856,2.05990748212193,2020-10-01
2020-11-01,optimal,0.07148625650967225,1.0427392367994832,212.76800480949476,49215.513547370894,1.9807836267394336,2020-11-01
2020-12-01,optimal,0.08070423331352221,1.1908830582360468,217.74370162693353,54312.40489231635,2.409858045315573,2020-12-01
