treated_levels,synthetic_levels
520.0,616.8971540219369
671.0,653.3314843413349
938.0,904.111214445348
667.0,719.7211139070611
684.0,727.7019444133982
928.0,872.5055113887537
974.0,1042.398624881875
1111.0,1081.2661000943772
701.0,725.0249710022607
664.0,697.7567644760778
714.0,756.9012698260854
959.0,1052.3132531628012
901.0,828.2373457348997
1159.0,1150.836812853453
1093.0,1004.1487603708676
329.0,374.7572476573964
281.0,271.64848544545424
177.0,218.99707221144482
140.0,179.74063181794344
258.0,292.6130210911036
386.0,398.165869995399
577.0,545.6564376146493
852.0,801.0069448129442
938.0,906.5337409603173
