unit,post_pre_mspe_ratio,is_treated
BD->US,1.8016032072189814,0
ES->US,30.48188127414595,0
IT->US,5.517801313416407,0
JM->US,7.518530823294377,0
NG->US,0.771979377642963,0
NP->US,6.969189160300555,0
PK->US,2.154647681179822,0
TH->US,3.306081204596258,0
TR->US,19.11079080973041,0
TW->US,6.742733283967591,0
CL->AR,5.0413042803805865,0
CL->BO,4.4821580164799535,0
CL->BR,47.38857862168972,0
CL->CA,1.1069612647000335,0
CL->CO,4.465003581364182,0
CL->EC,6.390474590677063,0
CL->ES,6.019093699938484,0
CL->MX,19.264115441246776,0
CL->PE,0.6666216939294696,0
CL->VE,8.369216481720423,0
__treated__,232.72369723530161,1
