date,BD->US,CL->AR,CL->BO,CL->BR,CL->CA,CL->CO,CL->EC,CL->ES,CL->MX,CL->PE,CL->US,CL->VE,ES->US,IT->US,JM->US,NG->US,NP->US,PK->US,TH->US,TR->US,TW->US
2020-06-01,273,277,404,105,20,314,71,205,128,659,177,299,562,641,291,292,299,374,325,333,337
2020-07-01,252,217,307,91,11,255,111,189,107,489,140,183,574,662,342,293,186,351,304,288,285
2020-08-01,908,303,402,163,42,331,96,304,74,604,258,148,762,1102,733,465,290,508,500,517,495
2020-09-01,1179,345,572,204,60,309,172,390,106,750,386,154,1073,1539,952,577,393,733,658,684,984
2020-10-01,1235,571,757,272,65,969,327,490,155,1387,577,327,1218,1359,1651,513,406,812,694,660,845
2020-11-01,1702,579,585,317,96,2172,281,606,213,2010,852,440,985,1208,1560,1010,529,1105,714,811,748
2020-12-01,1330,683,839,391,111,2998,351,426,223,2657,938,801,1014,1178,1508,911,400,907,692,697,573
2021-01-01,776,605,1226,345,104,2546,406,346,214,3051,906,1465,927,1027,1155,1150,404,849,606,509,554
2021-02-01,1446,602,1155,368,203,1974,321,453,237,2894,1361,1206,1135,1055,1737,1812,908,1592,696,693,872
2021-03-01,1539,667,1027,376,155,1619,335,464,237,2398,1680,1455,1212,1172,1670,1542,1138,1512,928,738,849
2021-04-01,1117,404,737,177,96,879,193,294,183,1284,872,924,980,891,1204,1427,629,896,685,462,739
2021-05-01,1240,480,846,178,187,675,125,395,274,1095,1565,848,1164,1136,2112,1641,975,1192,1134,687,982
2021-06-01,1369,484,617,130,204,460,129,450,287,772,1908,617,1294,1380,1957,1620,917,1341,1307,556,1053
2021-07-01,1215,330,693,124,254,658,119,527,364,858,3240,932,1697,1932,3357,1815,717,1466,1972,843,1963
2021-08-01,1420,293,613,129,277,608,114,799,522,974,3814,691,2111,1848,2810,2008,1354,1682,2095,1266,2922
2021-09-01,2543,421,688,243,478,901,206,1205,1035,1213,8111,1586,3092,2295,4178,2463,2622,2120,2775,2157,4646
2021-10-01,2137,421,564,189,440,744,146,1329,1435,943,6029,1247,2542,1777,3228,2077,2168,1887,2261,1896,3172
2021-11-01,1731,420,439,134,402,586,86,1453,1834,672,3946,909,1991,1260,2278,1692,1714,1654,1746,1635,1697
