treated_levels,synthetic_levels
520.0,591.6749800364908
671.0,649.4462702254937
938.0,907.5789887040397
666.9999999999998,736.9466927433499
684.0000000000002,698.060293520948
927.9999999999997,842.5855834212123
974.0000000000001,934.6251640750077
1111.0,1017.9010070049989
700.9999999999998,732.2591417381288
664.0,702.7854868159787
713.9999999999999,754.5654382585582
959.0000000000001,1077.3869206431
901.0000000000003,852.6129440526564
1159.0,1116.2796431783909
1093.0,977.69788122364
328.99999999999994,353.3062928306096
281.00000000000006,237.62740354505084
176.99999999999997,196.93101256284456
140.00000000000003,151.5579722766455
257.9999999999999,288.5572910879248
386.00000000000006,381.796967371429
577.0000000000001,564.7319724027958
852.0000000000001,783.0964092747588
938.0,845.3832960367505
