unit,post_pre_mspe_ratio,is_treated
BD->US,9.684476558130033,0
ES->US,68.63382975204458,0
IT->US,24.357542438649187,0
JM->US,30.975185691345544,0
NG->US,1.8260747128128003,0
NP->US,16.544936388557645,0
PK->US,2.0785156899750468,0
TH->US,7.034724047506765,0
TR->US,94.34758298189632,0
TW->US,18.7405019070029,0
CL->AR,2.748874863015242,0
CL->BO,5.872513791861001,0
CL->BR,42.49608672682228,0
CL->CA,4.340504166433192,0
CL->CO,0.1887993294319722,0
CL->EC,22.69129391328231,0
CL->ES,14.650031933391856,0
CL->MX,91.77101627312568,0
CL->PE,0.4710461878099597,0
CL->VE,21.438415943067184,0
__treated__,3539.584077347303,1
