date,treated,synthetic,on_model_scale_treated,on_model_scale_synth,is_pre,is_post
2019-01-01,520.0,591.6749800364908,6.255750041753367,6.384646154365558,1,0
2019-02-01,671.0,649.4462702254937,6.51025834052315,6.477658696886295,1,0
2019-03-01,938.0,907.5789887040397,6.844815479208263,6.811881828144909,1,0
2019-04-01,666.9999999999998,736.9466927433499,6.504288173536645,6.603871589936531,1,0
2019-05-01,684.0000000000002,698.060293520948,6.529418838262226,6.549736995339295,1,0
2019-06-01,927.9999999999997,842.5855834212123,6.834108738813838,6.737661359104887,1,0
2019-07-01,974.0000000000001,934.6251640750077,6.882437470997847,6.841214930537947,1,0
2019-08-01,1111.0,1017.9010070049989,7.013915474810528,6.926479881305395,1,0
2019-09-01,700.9999999999998,732.2591417381288,6.553933404025811,6.597499175203135,1,0
2019-10-01,664.0,702.7854868159787,6.499787040655854,6.556473603498365,1,0
2019-11-01,713.9999999999999,754.5654382585582,6.5722825426940075,6.627466393790527,1,0
2019-12-01,959.0000000000001,1077.3869206431,6.866933284461882,6.98322161160072,1,0
2020-01-01,901.0000000000003,852.6129440526564,6.804614520062624,6.749477863945504,1,0
2020-02-01,1159.0,1116.2796431783909,7.05617528410041,7.018652119731348,1,0
2020-03-01,1093.0,977.69788122364,6.9975959829819265,6.886222995540946,1,0
2020-04-01,328.99999999999994,353.3062928306096,5.799092654460526,5.8701617730193965,1,0
2020-05-01,281.00000000000006,237.62740354505084,5.641907070938114,5.474903354473135,1,0
2020-06-01,176.99999999999997,196.93101256284456,5.181783550292085,5.287918548581922,1,0
2020-07-01,140.00000000000003,151.5579722766455,4.948759890378168,5.027544669886617,1,0
2020-08-01,257.9999999999999,288.5572910879248,5.556828061699537,5.668353174110855,1,0
2020-09-01,386.00000000000006,381.796967371429,5.958424693029782,5.947504737320221,1,0
2020-10-01,577.0000000000001,564.7319724027958,6.359573868672378,6.33812041905287,1,0
2020-11-01,852.0000000000001,783.0964092747588,6.748759547491679,6.6645319838038155,1,0
2020-12-01,938.0,845.3832960367505,6.844815479208263,6.7409723256029945,1,0
2021-01-01,905.9999999999997,774.1340513855363,6.810142450115136,6.653035983925567,0,1
2021-02-01,1360.9999999999998,996.9862528690561,7.216709486709457,6.905739501536288,0,1
2021-03-01,1680.0000000000005,898.4965617639614,7.427144133408616,6.80183523099747,0,1
2021-04-01,871.9999999999998,591.9139029589624,6.771935555839602,6.385049199517436,0,1
2021-05-01,1564.9999999999998,690.1821029975232,7.356279876550748,6.538403324500579,0,1
2021-06-01,1908.0000000000007,623.6184899049717,7.554334823725748,6.437141047204567,0,1
2021-07-01,3240.0000000000005,850.6795540719008,8.083637203141548,6.74721034583787,0,1
2021-08-01,3813.999999999997,933.3689379233082,8.246695943718557,6.83987136871673,0,1
2021-09-01,8111.0000000000055,1497.0343170145998,9.001099725830965,7.31190907236924,0,1
2021-10-01,6029.000000000003,1199.7928830871851,8.704502289721232,7.090737353492216,0,1
2021-11-01,3945.9999999999986,878.4314165514411,8.280711075662847,6.779275581093169,0,1
2021-12-01,2772.0000000000005,720.7850542789641,7.927685045615778,6.58172738581388,0,1
2022-01-01,4071.0,922.0779641240123,8.311889558230359,6.827713699108978,0,1
2022-02-01,3264.9999999999973,839.5165426701525,8.09132127353041,6.734016634594487,0,1
2022-03-01,3328.999999999998,958.1234397900406,8.110727582974489,6.866019783795128,0,1
2022-04-01,3116.000000000001,1015.4620109901617,8.044626279767337,6.924083260004235,0,1
2022-05-01,3165.999999999998,1163.3469925755358,8.06054004653864,7.059915687454567,0,1
2022-06-01,2715.000000000001,835.8353669148722,7.906915488678587,6.72962735689516,0,1
2022-07-01,2818.9999999999986,919.2712011378813,7.944492163932159,6.824668410448388,0,1
2022-08-01,3578.0000000000005,1242.1483431299873,8.182838710766026,7.125402427213726,0,1
2022-09-01,4324.999999999999,1329.7540233247464,8.372398606513004,7.193500995399599,0,1
2022-10-01,5683.999999999997,1603.1841833727597,8.645586406184636,7.38037060937341,0,1
2022-11-01,3640.0000000000005,980.3475815148531,8.200013648175434,6.888926710281966,0,1
2022-12-01,5487.999999999996,1485.5498529945226,8.610501368549889,7.304213179039953,0,1
