i,j,k,month,flow_jk,ehat_jk,excess_jk,w_ij,eop_lite,year
AR,BR,CL,2019-01-01,475.0,320.62232822178686,0.48149382681615405,0.04948349013097215,0.023825995027381173,2019
AR,BR,CL,2019-02-01,381.0,424.6442145087846,-0.10277830950616129,0.04520933381285832,-0.004646538903185315,2019
AR,BR,CL,2019-03-01,492.0,485.38562931854307,0.013627042668616241,0.04447509285558226,0.0006060639880336888,2019
AR,BR,CL,2019-04-01,338.0,324.3558582143096,0.04206534718011907,0.043771609933475564,0.001841267968484398,2019
AR,BR,CL,2019-05-01,292.0,312.1137307826077,-0.06444359475045736,0.0427815739161001,-0.0027569984122358918,2019
AR,BR,CL,2019-06-01,286.0,316.9070416828727,-0.09752715344773322,0.04198845477646255,-0.00409501447201727,2019
AR,BR,CL,2019-07-01,344.0,378.8509272128883,-0.09199113611593313,0.04136300131243914,-0.0038050294838961095,2019
AR,BR,CL,2019-08-01,268.0,365.65622989666434,-0.26707115020100247,0.04025610369997483,-0.01075124391776311,2019
AR,BR,CL,2019-09-01,224.0,387.3931197739282,-0.4217759981624864,0.03936365965574267,-0.01660264684262926,2019
AR,BR,CL,2019-10-01,230.0,421.4234308725823,-0.45423063087932414,0.038837706121904,-0.017641275753658245,2019
AR,BR,CL,2019-11-01,206.0,356.690805468603,-0.42246899319603365,0.03835316276644042,-0.01620302205982169,2019
AR,BR,CL,2019-12-01,363.0,405.8390749213461,-0.10555680211337101,0.03983125411911907,-0.004204459808979246,2019
AR,BR,CL,2020-01-01,296.0,383.33866506608274,-0.2278368268722036,0.03949072427932527,-0.008997441310686558,2020
AR,BR,CL,2020-02-01,389.0,597.871389955567,-0.34935839624486803,0.03922271483822281,-0.013702784752251309,2020
AR,BR,CL,2020-03-01,325.0,521.8279299810864,-0.3771893351669015,0.03884330925617948,-0.014651281994020689,2020
AR,BR,CL,2020-04-01,181.0,168.5030104517643,0.0741647850369598,0.03953136456529539,0.002931835155202822,2020
AR,BR,CL,2020-05-01,135.0,134.9304601432159,0.0005153755253653915,0.04154054535280053,2.1408980385164444e-05,2020
AR,BR,CL,2020-06-01,123.0,113.25129036444972,0.08608034049041144,0.042746173933163656,0.0036796052068290776,2020
AR,BR,CL,2020-07-01,70.0,108.00047612354423,-0.35185470923363904,0.04369480601012849,-0.015374223263714024,2020
AR,BR,CL,2020-08-01,73.0,147.3689006968159,-0.5046444693905675,0.045272637235662015,-0.022846585995702308,2020
AR,BR,CL,2020-09-01,119.0,256.27033062576055,-0.5356465974448702,0.047462193244589335,-0.02542296231873518,2020
AR,BR,CL,2020-10-01,121.0,370.7768686832527,-0.6736581749834888,0.04909778879584929,-0.03307512679593662,2020
AR,BR,CL,2020-11-01,136.0,306.7055389684588,-0.5565779462040101,0.05094091280993206,-0.028352588629509536,2020
AR,BR,CL,2020-12-01,225.0,327.97342605161083,-0.3139688092760498,0.05071008637166429,-0.015921385436397078,2020
AR,BR,CL,2021-01-01,309.0,298.724403740299,0.03439824845590536,0.05096907826601568,0.0017532470177628935,2021
AR,BR,CL,2021-02-01,336.0,380.5928901163305,-0.11716690267834598,0.05281405044101433,-0.006188058708071582,2021
AR,BR,CL,2021-03-01,496.0,437.5500261659901,0.13358466538369293,0.05407148853444086,0.007223121702671471,2021
AR,BR,CL,2021-04-01,281.0,220.83942195645014,0.27241774820173914,0.05332399085515117,0.01452640151389041,2021
AR,BR,CL,2021-05-01,279.0,266.05049531183425,0.04867310873820326,0.05107528085359793,0.0024859926988214432,2021
AR,BR,CL,2021-06-01,238.0,234.86316063272844,0.013356029778449812,0.04989131926460107,0.0006663499457841586,2021
AR,BR,CL,2021-07-01,264.0,274.6978315732214,-0.03894399716209571,0.04821383426815839,-0.0018776394249129134,2021
AR,BR,CL,2021-08-01,253.0,254.67740131563784,-0.00658637675338507,0.04663287104540368,-0.00030714165779705053,2021
AR,BR,CL,2021-09-01,537.0,352.24981995171856,0.5244862298967374,0.04380753085958422,0.02297644670162831,2021
AR,BR,CL,2021-10-01,690.0,369.4955984508944,0.8674106075764263,0.04187683528750234,0.036324411140110334,2021
AR,BR,CL,2021-11-01,843.0,332.97941461472783,1.5316880353561464,0.04031030444964871,0.06174281102709056,2021
AR,BR,CL,2021-12-01,850.0,297.5726241472603,1.856445556562216,0.03811277857577173,0.07075429843523105,2021
AR,BR,CL,2022-01-01,1560.0,402.7785435105155,2.873096085018423,0.036933065471042935,0.10611224581258255,2022
AR,BR,CL,2022-02-01,1065.0,531.1324241997568,1.0051496603782144,0.03581818584364691,0.03600263733610546,2022
AR,BR,CL,2022-03-01,830.0,469.1169092828357,0.7692817793945346,0.03549615709170525,0.02730654688917494,2022
AR,BR,CL,2022-04-01,777.0,449.7525485554305,0.7276166694233581,0.03622770199370409,0.02635987986552092,2022
AR,BR,CL,2022-05-01,812.0,527.3262203052032,0.5398437793023735,0.03625155381922423,0.0195701758193534,2022
AR,BR,CL,2022-06-01,380.0,405.41224875141387,-0.06268248882385363,0.03676378953665163,-0.002304445826753673,2022
AR,BR,CL,2022-07-01,276.0,394.59848532355727,-0.30055484178128705,0.03740564073599195,-0.011242446433133726,2022
AR,BR,CL,2022-08-01,305.0,409.93926006209284,-0.25598733833445925,0.03802620073061301,-0.009734225912001494,2022
AR,BR,CL,2022-09-01,223.0,437.9356525491284,-0.4907927712622496,0.03887549867021277,-0.019079813726555626,2022
AR,BR,CL,2022-10-01,252.0,585.1395145743636,-0.5693334773617069,0.04003089729525406,-0.022790929959016343,2022
AR,BR,CL,2022-11-01,207.0,434.43742517773177,-0.5235217133622531,0.04001574551314381,-0.02094911165250894,2022
AR,BR,CL,2022-12-01,281.0,521.6089547200374,-0.46128225472888823,0.04133079118495695,-0.0190651605475258,2022
