"tl2_id","tl1_id","iso3","name_or","name_en","name_fr","continenta","reg_name_p","EU","EEA","mapineq"
"CA59","CAN47","CAN","British Columbia","British Columbia","British Columbia","t","British Columbia",FALSE,FALSE,FALSE
"CA60","CAN47","CAN","Yukon","Yukon","Yukon","t","Yukon",FALSE,FALSE,FALSE
"CA61","CAN47","CAN","Northwest Territories","Northwest Territories","Northwest Territories","t","N.W. Territories",FALSE,FALSE,FALSE
"CA62","CAN47","CAN","Nunavut","Nunavut","Nunavut","t","Nunavut",FALSE,FALSE,FALSE
"CH01","CHE33","CHE","Région lémanique","Lake Geneva Region","Région lémanique","f","Lake Geneva",FALSE,FALSE,FALSE
"CH02","CHE33","CHE","Espace Mittelland","Espace Mittelland","Espace Mittelland","f","Espace Mittelland",FALSE,FALSE,FALSE
"CH03","CHE33","CHE","Nordwestschweiz","Northwestern Switzerland","Suisse du Nord-Ouest","f","Northwestern",FALSE,FALSE,FALSE
"CH04","CHE33","CHE","Zürich","Zurich","Zurich","f","Zurich",FALSE,FALSE,FALSE
"CH05","CHE33","CHE","Ostschweiz","Eastern Switzerland","Suisse orientale","f","East",FALSE,FALSE,FALSE
"CH06","CHE33","CHE","Zentralschweiz","Central Switzerland","Suisse centrale","f","Central",FALSE,FALSE,FALSE
"CH07","CHE33","CHE","Ticino","Ticino","Tessin","f","Ticino",FALSE,FALSE,FALSE
"CL01","CHL225","CHL","Tarapacá","Tarapacá","Tarapacá","t","Tarapacá",FALSE,FALSE,FALSE
"CL02","CHL225","CHL","Antofagasta","Antofagasta","Antofagasta","t","Antofagasta",FALSE,FALSE,FALSE
"CL03","CHL225","CHL","Atacama","Atacama","Atacama","t","Atacama",FALSE,FALSE,FALSE
"CL04","CHL225","CHL","Coquimbo","Coquimbo","Coquimbo","t","Coquimbo",FALSE,FALSE,FALSE
"CL05","CHL225","CHL","Valparaíso","Valparaíso","Valparaíso","t","Valparaíso",FALSE,FALSE,FALSE
