geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
AT,105718,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT1,29683,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT11,4994,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT111,880,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT112,2258,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT2,32690,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT211,2555,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT212,5197,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT213,4259,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT22,20679,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT221,1554,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT113,1856,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT121,4232,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT122,4254,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT12,24169,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT123,1549,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT124,5808,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT125,3038,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT126,3428,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT127,1860,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT13,520,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT130,520,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT21,12011,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT222,4119,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT223,4100,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT224,4241,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT3,43345,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT31,15100,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT312,2199,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT313,3355,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT314,2818,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT315,3176,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT32,9016,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT321,1289,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT225,2798,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT226,3867,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT311,3552,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE2,17143,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE21,3620,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE211,1262,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE212,648,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE213,1710,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE22,3067,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE221,1144,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE222,1118,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE223,805,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT322,5540,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT323,2187,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT331,1556,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT332,2633,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT33,15932,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT333,2547,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT334,4186,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT335,5010,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT34,3297,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT341,2368,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
AT342,929,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE,38631,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE1,203,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE10,203,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE100,203,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE23,3797,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE231,594,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE232,437,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE233,428,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE234,1191,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE235,536,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE242,1460,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE25,3997,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE251,839,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE252,464,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE253,700,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE254,512,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE255,367,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE256,349,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE257,414,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE258,352,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE3,21285,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE31,1386,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE310,1386,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE32,4798,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE321,627,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE322,699,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE323,736,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE324,132,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE325,653,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE326,1183,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE327,768,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE236,611,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE24,2662,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE241,1202,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG,139768,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE33,4849,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE331,839,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE332,995,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE334,486,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE335,1469,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE336,1060,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE34,5622,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE341,406,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE342,1321,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE343,1208,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE344,1707,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE345,980,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE35,4630,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE351,2017,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE352,1466,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BE353,1147,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG3,86052,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG312,4568,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG313,4567,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG314,5846,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG315,5209,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG321,5876,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG32,18646,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG34,24938,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG322,2542,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG323,3612,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG324,3041,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG325,3575,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG31,24017,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG311,3827,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG331,4816,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG332,5944,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG333,4273,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG334,3418,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG341,9756,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG342,4466,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG343,4226,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG344,6490,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG4,53716,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG41,25564,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG33,18451,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG411,1685,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG412,8910,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG413,8117,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG414,3014,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG415,3838,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
BG421,7517,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2013
