geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
FR5,108142,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
FR6,131530,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
FR7,89585,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
FR8,86010,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
HR0,71288,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
HU1,8723,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
HU2,46117,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
HU3,62328,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
IE0,88275,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
IS0,129279,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
ITC,73002,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
ITF,92287,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
ITG,62760,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
ITH,77537,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
ITI,73082,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
LI0,205,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
LT0,81734,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
LU0,3258,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
LV0,81369,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
ME0,17491,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
MK0,32040,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
MT0,393,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
NL1,10853,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
NL2,12754,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
NL3,11942,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
NL4,9175,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
NO0,407940,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PL1,67707,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PL2,34663,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PL3,94302,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PL4,83463,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PL5,36979,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PL6,75765,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PT1,111904,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PT2,2933,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PT3,1016,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
RO1,85980,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
RO2,91435,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
RO3,45694,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
RO4,77150,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
SE1,63589,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
SE2,107085,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
SE3,395992,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
SI0,25525,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
SK0,61746,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
TR1,6681,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
TR2,54145,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
TR3,112387,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
TR4,62114,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
TR5,91996,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
TR6,111417,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
