geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
RS2,66435,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
SE1,63433,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
SE2,106973,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
SE3,395915,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
HU2,46124,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
IE0,88137,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
IS0,129328,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ITH,77496,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRY,112645,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ITF,92283,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
RO,300220,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
PL4,83443,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES4,271196,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES7,9377,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
LT0,81736,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
LU0,3262,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
LI0,205,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRC,60507,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRE,40200,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRG,40738,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
NL4,9176,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRL,40110,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FR1,15194,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FI1,423393,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT2,32689,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRK,89592,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRJ,92389,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRM,10987,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ITI,73103,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
HR064,1546,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE1,202,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
PT,115739,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
MT0,391,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ITC,73010,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
HU1,8716,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DEF,19763,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DEC,3237,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE3,1124,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE5,533,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE6,945,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE12,8706,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CH05,14523,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CZ02,13767,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
UKJ,24051,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
LV0,81348,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
UKD,17862,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
PL2,34665,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CH01,10979,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE24,2664,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ME0,17497,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BG33,18462,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CZ03,22300,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CY00,11653,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CZ01,629,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BG34,24931,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT11,4989,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE14,11518,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
NL3,12637,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT22,20672,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE25,3995,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
UKL,26228,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
PL7,37681,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE22,3067,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
RS1,31137,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
UKN,17816,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AL01,13631,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE23,3801,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BG41,25560,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CZ06,17616,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CH07,3540,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES53,6281,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT33,15921,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT12,24177,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE13,11837,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
NL2,13814,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE21,22092,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CH06,5651,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BG32,18655,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT34,3299,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE10,202,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE21,3620,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE33,4849,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
NL1,11431,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CH02,12649,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CH03,2470,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BG42,28175,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT31,15098,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
RO4,77131,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AL02,6254,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AL03,16387,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CH04,2174,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
UKC,10849,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CZ05,15664,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT32,9012,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES6,124627,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT3,43330,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRF,72712,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRB,49810,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
PL8,79555,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT21,12017,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE31,1383,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES5,76011,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES2,88643,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CZ08,6818,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
UKH,24110,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
UKI,1988,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRH,34522,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ITG,62756,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT13,521,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE32,4809,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FRD,37881,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FI2,1711,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
PL9,44784,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES1,57330,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES3,10106,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
RO2,91425,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES61,110345,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES62,14241,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES63,23,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES64,18,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DEF0,19763,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FI1B,11870,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES11,37265,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FR10,15194,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE30,1124,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
EL53,11918,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DEA1,6672,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
EL64,19591,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DEG0,20407,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
