geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
AT,105718,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT1,29683,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT11,4994,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT111,880,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT112,2258,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT2,32690,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT211,2555,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT212,5197,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT213,4259,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT22,20679,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT221,1554,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT113,1856,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT121,4232,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT122,4254,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT12,24169,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT123,1549,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT124,5808,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT125,3038,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT126,3428,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT127,1860,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT13,520,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT130,520,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT21,12011,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT222,4119,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT223,4100,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT224,4241,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT3,43345,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT31,15100,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT312,2199,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT313,3355,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT314,2818,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT315,3176,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT32,9016,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT321,1289,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT225,2798,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT226,3867,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT311,3552,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
BE2,17143,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
BE21,3620,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
BE211,1262,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
BE212,648,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
BE213,1710,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
BE22,3067,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
BE221,1144,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
BE222,1118,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
BE223,805,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
AT322,5540,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2013
