geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
AT,105718,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT1,29683,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT11,4994,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT111,880,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT112,2258,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT2,32690,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT211,2555,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT212,5197,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT213,4259,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT22,20679,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT221,1554,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT113,1856,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT121,4232,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT122,4254,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT12,24169,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT123,1549,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT124,5808,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT125,3038,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT126,3428,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT127,1860,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT13,520,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT130,520,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT21,12011,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT222,4119,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT223,4100,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT224,4241,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT3,43345,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT31,15100,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT312,2199,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT313,3355,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT314,2818,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT315,3176,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT32,9016,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT321,1289,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT225,2798,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT226,3867,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT311,3552,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE2,17143,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE21,3620,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE211,1262,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE212,648,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE213,1710,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE22,3067,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE221,1144,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE222,1118,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE223,805,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT322,5540,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT323,2187,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT331,1556,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT332,2633,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT33,15932,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT333,2547,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT334,4186,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT335,5010,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT34,3297,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT341,2368,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
AT342,929,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE,38631,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE1,203,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE10,203,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE100,203,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE23,3797,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE231,594,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE232,437,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE233,428,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE234,1191,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE235,536,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE242,1460,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE25,3997,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE251,839,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE252,464,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE253,700,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE254,512,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE255,367,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE256,349,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE257,414,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE258,352,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE3,21285,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
BE31,1386,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2013
