id,geo,obsvalue,indicator,freq,obstime,unit,geo_source
0,AL,33.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
1,CZ,123.8,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
2,DE,803.32,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
3,DK,69.68,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
4,CY,108.4,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
5,AT,113.64,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
6,BE,185.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
7,BG,77.44,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
8,CH,70.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
9,EE,17.68,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
10,EL,301.28000000000003,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
11,ES,2444.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
12,FI,107.68,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
13,FR,916.52,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
14,HR,52.84,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
15,HU,72.16,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
16,IE,37.6,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
17,IS,13.4,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
18,IT,1553.96,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
19,LT,23.92,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
20,LU,11.16,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
21,BE3,39.56,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
22,NL,241.64000000000001,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
23,NO,83.92,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
24,CH0,70.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
25,DE1,107.44,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
26,CY0,108.4,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
27,DEA,161.64000000000001,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
28,BG3,36.84,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
29,LV,16.12,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
30,ME,7.92,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
31,MT,21.28,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
32,MK,29.2,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
33,DE7,72.52,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
34,EL5,86.48,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
35,EL6,79.64,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
36,DE4,27.240000000000002,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
37,EE0,17.68,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
38,DEB,54.2,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
39,BE2,130.2,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
40,DEF,17.92,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
41,DEC,8.92,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
42,DEE,28.2,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
43,DED,34.6,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
44,EL3,85.64,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
45,EL4,49.52,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
46,DEG,20.240000000000002,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
47,DK0,69.68,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
48,DE2,141.68,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
49,DE3,18.12,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
50,DE8,12.32,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
51,CZ0,123.8,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
52,DE5,12.64,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
53,DE6,20.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
54,LI,0.28,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
55,BG4,40.6,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
56,DE9,65.28,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
57,AL0,33.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
58,PL,323.08,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
59,SI,19.240000000000002,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
60,SK,60.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
61,TR,2334.2000000000003,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
62,UK,660.76,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
63,AT1,57.72,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
64,RS,53.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
65,SE,177.12,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
66,PT,337.96,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
67,RO,135.72,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
68,ES4,609.64,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
69,ES7,0.0,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
70,FI1,107.0,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
71,MT0,21.28,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
72,NL4,53.28,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
73,NO0,83.92,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
74,FR1,103.76,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
75,FRC,30.400000000000002,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
76,FRE,78.96000000000001,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
77,FRG,50.52,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
78,FRB,19.32,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
79,FRD,33.84,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
80,ES2,224.12,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
81,FRF,82.24,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
82,ES1,63.28,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
83,ES3,166.72,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
84,ES6,778.2,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
85,ES5,602.4,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
86,FI2,0.68,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
87,ITG,238.52,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
88,FRH,28.88,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
89,AT3,34.92,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
90,BE1,15.6,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
91,FRL,139.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
92,ITH,277.28000000000003,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
93,FRI,91.92,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
94,ITC,347.28000000000003,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
95,LT0,23.92,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
96,LU0,11.16,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
97,LI0,0.28,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
98,FRK,107.48,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
99,FRY,,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
100,HR0,52.84,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
101,HU1,22.96,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
102,ITI,234.8,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
103,HR043,0.28,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
104,FRJ,143.12,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
105,FRM,6.72,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
106,HU2,23.48,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
107,ITF,456.08,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
108,HU3,25.72,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
109,IE0,37.6,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
110,IS0,13.4,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
111,AT2,21.0,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
112,PL4,64.88,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
113,PL8,34.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
114,RO2,39.24,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
115,PL9,44.44,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
116,RS2,26.68,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
117,SE1,54.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
118,SE2,80.44,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
119,SE3,42.32,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
120,PL7,38.76,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
121,RO4,28.92,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
122,PL2,57.96,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
123,RS1,26.68,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
124,CH02,15.6,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
125,CH03,9.24,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
126,AL02,10.72,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
127,AL03,13.52,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
128,BG33,10.0,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
129,DE13,18.080000000000002,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
130,CZ05,13.48,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
131,AT32,5.04,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
132,UKH,50.120000000000005,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
133,UKI,82.2,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
134,CH04,8.040000000000001,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
135,CH05,8.84,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
136,ES53,35.6,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
137,UKC,42.6,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
138,BG34,16.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
139,AT11,4.84,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
140,BG41,26.52,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
141,AT33,8.8,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
142,UKJ,64.76,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
143,DE14,13.32,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
144,AT34,3.36,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
145,BE10,15.6,"MSZ, open spaces, low vegetation surfaces NDVI <= 0.3",,2018,km2,NUTS2016
