,geo,freq,obsTime,indicator,obsValue,unit
0,DK,6 years,2018,green urban area,121086746.1019424,square meters
1,DK0,6 years,2018,green urban area,121086746.1019424,square meters
2,DK01,6 years,2018,green urban area,54312002.14755253,square meters
3,DK02,6 years,2018,green urban area,10101400.10795131,square meters
4,DK03,6 years,2018,green urban area,15883861.09413279,square meters
5,DK04,6 years,2018,green urban area,24998132.62569565,square meters
6,DK05,6 years,2018,green urban area,16156252.14186395,square meters
7,DK022,6 years,2018,green urban area,41865.22132755302,square meters
8,DK032,6 years,2018,green urban area,0.0,square meters
9,DK013,6 years,2018,green urban area,25659367.37975132,square meters
10,DK014,6 years,2018,green urban area,0.0,square meters
11,DK021,6 years,2018,green urban area,10101400.10795131,square meters
12,DK042,6 years,2018,green urban area,24998132.62569565,square meters
13,DK011,6 years,2018,green urban area,10750069.77501156,square meters
14,DK012,6 years,2018,green urban area,20832536.56499371,square meters
15,DK041,6 years,2018,green urban area,0.0,square meters
16,DK031,6 years,2018,green urban area,15883861.09413279,square meters
17,DK050,6 years,2018,green urban area,16156252.14186395,square meters
18,ME,6 years,2018,green urban area,4200028.472850651,square meters
19,ME0,6 years,2018,green urban area,4200028.472850651,square meters
20,ME00,6 years,2018,green urban area,4200028.472850651,square meters
21,ME000,6 years,2018,green urban area,4200028.472850651,square meters
22,SI,6 years,2018,green urban area,7998399.508303178,square meters
23,SI0,6 years,2018,green urban area,7998399.508303178,square meters
24,SI04,6 years,2018,green urban area,4980884.584418312,square meters
25,SI03,6 years,2018,green urban area,3017514.923884866,square meters
26,SI038,6 years,2018,green urban area,0.0,square meters
27,SI036,6 years,2018,green urban area,0.0,square meters
28,SI043,6 years,2018,green urban area,0.0,square meters
29,SI041,6 years,2018,green urban area,4980884.584418312,square meters
30,SI042,6 years,2018,green urban area,0.0,square meters
31,SI037,6 years,2018,green urban area,0.0,square meters
32,SI034,6 years,2018,green urban area,0.0,square meters
33,SI035,6 years,2018,green urban area,0.0,square meters
