event_time,coef,se,term,ci_low,ci_high
-12,0.2412783457545773,0.20943282429510007,et_m12,-0.16920998986381885,0.6517666813729734
-11,-0.09473463246267788,0.11580889700535635,et_m11,-0.3217200705931763,0.13225080566782055
-10,-0.28743023177853033,0.09492131868963283,et_m10,-0.47347601641021064,-0.10138444714684999
-9,-0.4226208782346549,0.10741212523312198,et_m9,-0.633148643691574,-0.21209311277773582
-8,-0.2510086464271075,0.0834107363379737,et_m8,-0.414493689649536,-0.08752360320467906
-7,-0.13867844657125583,0.08348619498173791,et_m7,-0.30231138873546215,0.024954495592950487
-6,0.09423051593747123,0.07976802127094823,et_m6,-0.0621148057535873,0.25057583762852975
-5,0.22847647166505558,0.0838579491149906,et_m5,0.064114891399674,0.3928380519304372
-4,0.321834833528859,0.09443142864167473,et_m4,0.13674923339117653,0.5069204336665415
-3,0.34000435719333577,0.1028485659375561,et_m3,0.13842116795572582,0.5415875464309458
-2,0.3869724055278738,0.06627272174079805,et_m2,0.2570778709159096,0.516866940139838
0,0.12001301562279854,0.05061265879159679,et_0,0.020812204391268824,0.21921382685432825
1,0.2074697114306847,0.03373568705964583,et_p1,0.1413477647937789,0.27359165806759056
2,0.1470815711496003,0.05536662272695746,et_p2,0.03856299060476369,0.2556001516944369
3,0.23227773479800784,0.07788074097107882,et_p3,0.07963148249469335,0.38492398710132236
4,0.2608659834630014,0.09261810289149466,et_p4,0.07933450179567184,0.44239746513033096
5,0.5079075862875428,0.11720217892310446,et_p5,0.2781913155982581,0.7376238569768276
6,0.45358098833202765,0.12959128042320503,et_p6,0.1995820787025458,0.7075798979615096
7,0.370263836202984,0.14864758914883433,et_p7,0.07891456147126868,0.6616131109346992
8,0.2887596237893524,0.09647363890472745,et_p8,0.09967129153608659,0.4778479560426182
9,0.46272358765781907,0.07114628976172388,et_p9,0.32327685972484027,0.6021703155907978
10,0.33355655883889845,0.09520036169608082,et_p10,0.14696384991458006,0.5201492677632169
11,0.41161569118239805,0.07585506733866756,et_p11,0.2629397591986096,0.5602916231661865
12,0.7504626722804739,0.17785669155811915,et_p12,0.4018635568265604,1.0990617877343873
