event_time,coef,se,term,ci_low,ci_high
-12,0.4704873076846252,0.11937801731493539,et_m12,0.23650639374735186,0.7044682216218986
-11,-0.27716337609108765,0.06832519218345175,et_m11,-0.41108075277065304,-0.14324599941152225
-10,-0.3432027865885765,0.07847108378611901,et_m10,-0.49700611080936974,-0.18939946236778324
-9,-0.3962799584441008,0.09068367128438234,et_m9,-0.5740199541614902,-0.21853996272671142
-8,-0.12205077921116136,0.1046499430455715,et_m8,-0.32716466758048146,0.08306310915815876
-7,0.03049093647330192,0.1009855014071229,et_m7,-0.16744064628465896,0.2284225192312628
-6,0.09792660575671808,0.08203080418594612,et_m6,-0.06285377044773632,0.2587069819611725
-5,0.15998627711142355,0.049137901695733524,et_m5,0.06367598978778584,0.25629656443506127
-4,0.1553669394319548,0.024878421241062702,et_m4,0.1066052337994719,0.20412864506443767
-3,0.08537439222954601,0.03762685295219399,et_m3,0.011625760443245786,0.15912302401584624
-2,0.23500377294347685,0.04306270655932227,et_m2,0.15060086808720521,0.3194066777997485
0,0.07880085537162529,0.042580228544096904,et_0,-0.004656392574804644,0.16225810331805524
1,0.24469060034170198,0.03973422312271202,et_p1,0.1668115230211864,0.32256967766221756
2,0.24727367526842858,0.03939286153172757,et_p2,0.17006366666624254,0.32448368387061466
3,0.400883711606961,0.05030118758000344,et_p3,0.30229338395015426,0.49947403926376777
4,0.43993921875161646,0.04786744078621568,et_p4,0.3461190348106337,0.5337594026925991
5,0.6474041934647883,0.060514424443594596,et_p5,0.5287959215553428,0.7660124653742337
6,0.5586362913498699,0.05268198332040812,et_p6,0.45537960404187,0.6618929786578698
7,0.43205434895788764,0.06170181556644217,et_p7,0.311118790447661,0.5529899074681143
8,0.2799714089535148,0.07566761696225172,et_p8,0.13166287970750143,0.42827993819952814
9,0.4240623367880825,0.08013015968590712,et_p9,0.26700722380370456,0.5811174497724604
10,0.4767404595229603,0.07130348693062619,et_p10,0.33698562513893293,0.6164952939069877
11,0.4879390926443412,0.0706821742991288,et_p11,0.3494020310180488,0.6264761542706336
12,1.2637405543709854,0.21215489378111005,et_p12,0.8479169625600098,1.679564146181961
