id,geo,obsvalue,indicator,freq,obstime,unit,geo_source
89,AT3,32623.440000000002,non-built-up,,2018,km2,NUTS2016
90,BE1,46.52,non-built-up,,2018,km2,NUTS2016
91,FRL,29104.24,non-built-up,,2018,km2,NUTS2016
92,ITH,55568.72,non-built-up,,2018,km2,NUTS2016
93,FRI,79313.52,non-built-up,,2018,km2,NUTS2016
94,ITC,51990.92,non-built-up,,2018,km2,NUTS2016
95,LT0,62660.56,non-built-up,,2018,km2,NUTS2016
96,LU0,2369.08,non-built-up,,2018,km2,NUTS2016
97,LI0,140.8,non-built-up,,2018,km2,NUTS2016
98,FRK,66234.84,non-built-up,,2018,km2,NUTS2016
99,FRY,,non-built-up,,2018,km2,NUTS2016
100,HR0,54201.68,non-built-up,,2018,km2,NUTS2016
101,HU1,5916.4800000000005,non-built-up,,2018,km2,NUTS2016
102,ITI,53036.24,non-built-up,,2018,km2,NUTS2016
103,HR043,1141.88,non-built-up,,2018,km2,NUTS2016
104,FRJ,69043.0,non-built-up,,2018,km2,NUTS2016
105,FRM,8467.52,non-built-up,,2018,km2,NUTS2016
106,HU2,34835.4,non-built-up,,2018,km2,NUTS2016
107,ITF,67408.24,non-built-up,,2018,km2,NUTS2016
108,HU3,47006.8,non-built-up,,2018,km2,NUTS2016
109,IE0,66715.44,non-built-up,,2018,km2,NUTS2016
110,IS0,102540.6,non-built-up,,2018,km2,NUTS2016
111,AT2,24731.84,non-built-up,,2018,km2,NUTS2016
112,PL4,63040.880000000005,non-built-up,,2018,km2,NUTS2016
113,PL8,59437.44,non-built-up,,2018,km2,NUTS2016
114,RO2,69491.08,non-built-up,,2018,km2,NUTS2016
115,PL9,32688.68,non-built-up,,2018,km2,NUTS2016
116,RS2,50711.28,non-built-up,,2018,km2,NUTS2016
117,SE1,49051.96,non-built-up,,2018,km2,NUTS2016
118,SE2,82868.84,non-built-up,,2018,km2,NUTS2016
119,SE3,313312.08,non-built-up,,2018,km2,NUTS2016
120,PL7,27569.52,non-built-up,,2018,km2,NUTS2016
121,RO4,59156.8,non-built-up,,2018,km2,NUTS2016
122,PL2,23950.64,non-built-up,,2018,km2,NUTS2016
123,RS1,23331.760000000002,non-built-up,,2018,km2,NUTS2016
124,CH02,9281.800000000001,non-built-up,,2018,km2,NUTS2016
125,CH03,1613.92,non-built-up,,2018,km2,NUTS2016
126,AL02,4683.6,non-built-up,,2018,km2,NUTS2016
127,AL03,12579.0,non-built-up,,2018,km2,NUTS2016
128,BG33,14125.08,non-built-up,,2018,km2,NUTS2016
129,DE13,8540.92,non-built-up,,2018,km2,NUTS2016
130,CZ05,11550.04,non-built-up,,2018,km2,NUTS2016
131,AT32,6876.84,non-built-up,,2018,km2,NUTS2016
132,UKH,17074.84,non-built-up,,2018,km2,NUTS2016
133,UKI,520.36,non-built-up,,2018,km2,NUTS2016
134,CH04,1392.72,non-built-up,,2018,km2,NUTS2016
135,CH05,10986.52,non-built-up,,2018,km2,NUTS2016
136,ES53,4276.84,non-built-up,,2018,km2,NUTS2016
137,UKC,7822.92,non-built-up,,2018,km2,NUTS2016
138,BG34,19198.52,non-built-up,,2018,km2,NUTS2016
139,AT11,3717.0,non-built-up,,2018,km2,NUTS2016
140,BG41,19588.44,non-built-up,,2018,km2,NUTS2016
141,AT33,12269.36,non-built-up,,2018,km2,NUTS2016
142,UKJ,16334.720000000001,non-built-up,,2018,km2,NUTS2016
143,DE14,8327.36,non-built-up,,2018,km2,NUTS2016
144,AT34,2446.64,non-built-up,,2018,km2,NUTS2016
145,BE10,46.52,non-built-up,,2018,km2,NUTS2016
146,BE21,2010.8400000000001,non-built-up,,2018,km2,NUTS2016
147,BG42,21614.24,non-built-up,,2018,km2,NUTS2016
148,CZ08,4890.8,non-built-up,,2018,km2,NUTS2016
149,UKD,12238.36,non-built-up,,2018,km2,NUTS2016
150,DE21,15882.36,non-built-up,,2018,km2,NUTS2016
151,CH06,4184.04,non-built-up,,2018,km2,NUTS2016
152,CZ02,10056.32,non-built-up,,2018,km2,NUTS2016
153,AT22,15579.48,non-built-up,,2018,km2,NUTS2016
154,BG32,14293.36,non-built-up,,2018,km2,NUTS2016
155,CH01,8171.64,non-built-up,,2018,km2,NUTS2016
156,BE24,1570.08,non-built-up,,2018,km2,NUTS2016
157,BE25,2459.2000000000003,non-built-up,,2018,km2,NUTS2016
158,CZ06,13110.28,non-built-up,,2018,km2,NUTS2016
159,CH07,2661.2000000000003,non-built-up,,2018,km2,NUTS2016
160,AT12,17950.920000000002,non-built-up,,2018,km2,NUTS2016
161,AT13,199.32,non-built-up,,2018,km2,NUTS2016
162,AT21,9152.36,non-built-up,,2018,km2,NUTS2016
163,BE31,907.76,non-built-up,,2018,km2,NUTS2016
164,BE32,3172.88,non-built-up,,2018,km2,NUTS2016
165,CZ03,16910.6,non-built-up,,2018,km2,NUTS2016
166,CY00,8627.76,non-built-up,,2018,km2,NUTS2016
167,CZ01,276.2,non-built-up,,2018,km2,NUTS2016
168,BE22,1857.48,non-built-up,,2018,km2,NUTS2016
169,BE23,2209.92,non-built-up,,2018,km2,NUTS2016
170,BE33,3345.52,non-built-up,,2018,km2,NUTS2016
171,CZ07,8604.76,non-built-up,,2018,km2,NUTS2016
172,ES12,10236.880000000001,non-built-up,,2018,km2,NUTS2016
173,BE34,4234.12,non-built-up,,2018,km2,NUTS2016
174,DE11,9248.48,non-built-up,,2018,km2,NUTS2016
175,DE22,9450.56,non-built-up,,2018,km2,NUTS2016
176,BE35,3373.32,non-built-up,,2018,km2,NUTS2016
177,CZ04,8122.28,non-built-up,,2018,km2,NUTS2016
178,ES24,46926.36,non-built-up,,2018,km2,NUTS2016
179,ES30,6999.68,non-built-up,,2018,km2,NUTS2016
180,BG31,18495.48,non-built-up,,2018,km2,NUTS2016
181,DE12,6017.4800000000005,non-built-up,,2018,km2,NUTS2016
182,UKN,13153.960000000001,non-built-up,,2018,km2,NUTS2016
183,AL01,10459.800000000001,non-built-up,,2018,km2,NUTS2016
184,AT31,11030.6,non-built-up,,2018,km2,NUTS2016
185,SK0,46425.64,non-built-up,,2018,km2,NUTS2016
186,PT1,83259.16,non-built-up,,2018,km2,NUTS2016
187,PT2,2212.36,non-built-up,,2018,km2,NUTS2016
188,PT3,23.8,non-built-up,,2018,km2,NUTS2016
189,UKE,13729.56,non-built-up,,2018,km2,NUTS2016
190,PL5,27621.68,non-built-up,,2018,km2,NUTS2016
191,UKK,21824.68,non-built-up,,2018,km2,NUTS2016
192,RO3,34207.36,non-built-up,,2018,km2,NUTS2016
193,UKF,13992.68,non-built-up,,2018,km2,NUTS2016
194,RO1,65903.4,non-built-up,,2018,km2,NUTS2016
195,SI0,19162.48,non-built-up,,2018,km2,NUTS2016
196,PL6,57321.6,non-built-up,,2018,km2,NUTS2016
197,UKG,11241.64,non-built-up,,2018,km2,NUTS2016
198,LV0,63337.32,non-built-up,,2018,km2,NUTS2016
199,ME0,13706.44,non-built-up,,2018,km2,NUTS2016
200,UKL,19565.56,non-built-up,,2018,km2,NUTS2016
201,UKM,76807.16,non-built-up,,2018,km2,NUTS2016
202,MK0,24729.12,non-built-up,,2018,km2,NUTS2016
203,NL1,8211.16,non-built-up,,2018,km2,NUTS2016
204,NL2,9473.92,non-built-up,,2018,km2,NUTS2016
205,NL3,7823.76,non-built-up,,2018,km2,NUTS2016
206,DE73,7671.0,non-built-up,,2018,km2,NUTS2016
207,DK04,12299.720000000001,non-built-up,,2018,km2,NUTS2016
208,DE40,27887.600000000002,non-built-up,,2018,km2,NUTS2016
209,DE93,14426.56,non-built-up,,2018,km2,NUTS2016
210,ITH3,15106.92,non-built-up,,2018,km2,NUTS2016
211,EL41,3725.76,non-built-up,,2018,km2,NUTS2016
212,EL42,5029.32,non-built-up,,2018,km2,NUTS2016
213,EL65,15057.68,non-built-up,,2018,km2,NUTS2016
214,DEB1,7339.8,non-built-up,,2018,km2,NUTS2016
