date,unit,gap_model_scale,is_pre,is_post
2020-01-01,ES->DE,-45.518690263039616,1,0
2020-02-01,ES->DE,-122.53405229138298,1,0
2020-03-01,ES->DE,257.3889967101852,1,0
2020-04-01,ES->DE,53.43271807032511,1,0
2020-05-01,ES->DE,161.8250383231287,1,0
2020-06-01,ES->DE,83.62751913978695,1,0
2020-07-01,ES->DE,103.25533598935289,1,0
2020-08-01,ES->DE,31.66063047802595,1,0
2020-09-01,ES->DE,138.21529684861844,1,0
2020-10-01,ES->DE,199.20972972079198,1,0
2020-11-01,ES->DE,30.840227044745006,1,0
2020-12-01,ES->DE,101.24813026513516,1,0
2021-01-01,ES->DE,92.95458447447982,1,0
2021-02-01,ES->DE,4.724926729559002,1,0
2021-03-01,ES->DE,19.29076166916343,1,0
2021-04-01,ES->DE,-7.000509748055947,1,0
2021-05-01,ES->DE,-189.82674497719358,1,0
2021-06-01,ES->DE,-15.181139513127619,1,0
2021-07-01,ES->DE,-136.1425842237611,1,0
2021-08-01,ES->DE,6.145622157136586,1,0
2021-09-01,ES->DE,148.07159037052384,1,0
2021-10-01,ES->DE,-114.94583150876224,1,0
2021-11-01,ES->DE,-377.88874645120836,1,0
2021-12-01,ES->DE,40.28651475306606,0,1
2022-01-01,ES->DE,-7.097429721102344,0,1
2022-02-01,ES->DE,-134.61052253961407,0,1
2022-03-01,ES->DE,-223.4071326058479,0,1
2022-04-01,ES->DE,-125.2886780055594,0,1
2022-05-01,ES->DE,82.43385798146596,0,1
2022-06-01,ES->DE,123.26067938428787,0,1
2022-07-01,ES->DE,-337.1813929443738,0,1
2022-08-01,ES->DE,-332.06837627880304,0,1
2022-09-01,ES->DE,-424.060712139609,0,1
2022-10-01,ES->DE,-1014.1491733587363,0,1
2022-11-01,ES->DE,-719.3664154614937,0,1
2022-12-01,ES->DE,-894.8186378509768,0,1
2019-01-01,GR->DE,-243.06247883552305,1,0
2019-02-01,GR->DE,-398.02354835236383,1,0
2019-03-01,GR->DE,-527.3865186426201,1,0
2019-04-01,GR->DE,-351.8892124506392,1,0
2019-05-01,GR->DE,-567.7774641458934,1,0
2019-06-01,GR->DE,-538.2257595847896,1,0
2019-07-01,GR->DE,-724.3702920686242,1,0
2019-08-01,GR->DE,-710.9519480153349,1,0
2019-09-01,GR->DE,-579.4716864107581,1,0
2019-10-01,GR->DE,-361.65144367107814,1,0
2019-11-01,GR->DE,-86.25663847565329,1,0
2019-12-01,GR->DE,197.68575668806375,1,0
2020-01-01,GR->DE,-522.4507364287492,1,0
2020-02-01,GR->DE,-492.4522323370211,1,0
2020-03-01,GR->DE,-857.3949155249074,1,0
2020-04-01,GR->DE,-509.53886738081655,1,0
2020-05-01,GR->DE,-362.6764824614885,1,0
2020-06-01,GR->DE,-244.09460893842993,1,0
2020-07-01,GR->DE,-86.24107381226429,1,0
2020-08-01,GR->DE,-419.8150137978389,1,0
2020-09-01,GR->DE,-328.90998444979095,1,0
