date,gap_model_scale,gap_levels,is_pre,is_post
2019-01-01,109.122836810438,109.122836810438,1,0
2019-02-01,63.41615097583508,63.41615097583508,1,0
2019-03-01,49.06698340796038,49.06698340796038,1,0
2019-04-01,168.0690258463519,168.0690258463519,1,0
2019-05-01,-273.5805347884643,-273.5805347884643,1,0
2019-06-01,-319.6470508477587,-319.6470508477587,1,0
2019-07-01,32.74467116854157,32.74467116854157,1,0
2019-08-01,-99.36367586106462,-99.36367586106462,1,0
2019-09-01,133.2448775918201,133.2448775918201,1,0
2019-10-01,-95.88732207523617,-95.88732207523617,1,0
2019-11-01,101.89045675395482,101.89045675395482,1,0
2019-12-01,471.4620974710224,471.4620974710224,1,0
2020-01-01,171.90642880312816,171.90642880312816,1,0
2020-02-01,207.7277535832559,207.7277535832559,1,0
2020-03-01,-494.3267434406134,-494.3267434406134,1,0
2020-04-01,44.61455884787392,44.61455884787392,1,0
2020-05-01,75.9597222574829,75.9597222574829,1,0
2020-06-01,219.61292006897725,219.61292006897725,1,0
2020-07-01,59.404587940109764,59.404587940109764,1,0
2020-08-01,-52.45941502312667,-52.45941502312667,1,0
2020-09-01,-126.16870146853444,-126.16870146853444,1,0
2020-10-01,-362.7731843118645,-362.7731843118645,1,0
2020-11-01,-72.20357132823892,-72.20357132823892,1,0
2020-12-01,506.0800030005703,506.0800030005703,1,0
2021-01-01,-9.881166171999666,-9.881166171999666,1,0
2021-02-01,-160.76299715552614,-160.76299715552614,1,0
2021-03-01,-155.52647119052835,-155.52647119052835,1,0
2021-04-01,-91.24501098605651,-91.24501098605651,1,0
2021-05-01,-345.68263113098965,-345.68263113098965,1,0
2021-06-01,-333.3483834520332,-333.3483834520332,1,0
2021-07-01,-278.88013267333963,-278.88013267333963,1,0
2021-08-01,353.2011757043035,353.2011757043035,1,0
2021-09-01,163.16660071963997,163.16660071963997,1,0
2021-10-01,538.5661581312374,538.5661581312374,1,0
2021-11-01,913.1122748167704,913.1122748167704,1,0
2021-12-01,1273.6456675704203,1273.6456675704203,0,1
2022-01-01,1694.0138082377584,1694.0138082377584,0,1
2022-02-01,529.4641064989419,529.4641064989419,0,1
2022-03-01,1217.912959617187,1217.912959617187,0,1
2022-04-01,512.271404361501,512.271404361501,0,1
2022-05-01,1942.8783424534554,1942.8783424534554,0,1
2022-06-01,1373.644363195026,1373.644363195026,0,1
2022-07-01,2372.2870978406636,2372.2870978406636,0,1
2022-08-01,3822.2138968163754,3822.2138968163754,0,1
2022-09-01,6062.832080451619,6062.832080451619,0,1
2022-10-01,9489.98130139782,9489.98130139782,0,1
2022-11-01,12617.495581338579,12617.495581338579,0,1
2022-12-01,11284.228201201588,11284.228201201588,0,1
