date,treated_levels,synthetic_origin_levels,synthetic_destination_levels,gap_vs_origin_levels,gap_vs_destination_levels,is_pre,is_post
2019-01-01,2574.000000000001,2575.6120417077586,2709.0232295882993,-1.6120417077577258,-135.02322958829836,1,0
2019-02-01,2769.000000000001,2910.205650015056,2856.2725667047757,-141.2056500150552,-87.27256670477482,1,0
2019-03-01,3140.0000000000014,3250.1924708305,2982.32260850327,-110.19247083049868,157.67739149673116,1,0
2019-04-01,3076.999999999998,2889.461847233901,3128.7913174923806,187.53815276609703,-51.791317492382404,1,0
2019-05-01,2626.999999999999,3150.7035446735636,2831.788543729929,-523.7035446735645,-204.7885437299301,1,0
2019-06-01,2757.0000000000005,3652.9291295429716,2951.331905765454,-895.9291295429712,-194.33190576545348,1,0
2019-07-01,3544.9999999999995,3813.238886375868,3376.9749161093514,-268.23888637586833,168.02508389064815,1,0
2019-08-01,3442.0000000000027,3763.997422212043,3496.45943503676,-321.9974222120404,-54.45943503675744,1,0
2019-09-01,4174.999999999999,3017.0311100733725,3888.4956215651696,1157.9688899266266,286.5043784348295,1,0
2019-10-01,3688.9999999999973,3472.201292645198,3583.817933299124,216.79870735479926,105.18206670087329,1,0
2019-11-01,2833.000000000001,3438.037120811909,2544.7885429388084,-605.0371208119082,288.2114570611925,1,0
2019-12-01,2751.0,2884.037905903928,2278.0748117191174,-133.03790590392782,472.9251882808826,1,0
2020-01-01,2853.0000000000005,2706.0358228629084,2743.328240716564,146.96417713709207,109.67175928343659,1,0
2020-02-01,3680.0000000000005,3446.2783524778724,3520.718674299842,233.72164752212802,159.2813257001585,1,0
2020-03-01,2632.999999999999,2314.981538413951,3314.189183839014,318.01846158604803,-681.1891838390147,1,0
2020-04-01,1323.0000000000002,1323.9215987947894,1311.4089996612915,-0.9215987947891335,11.591000338708682,1,0
2020-05-01,1019.9999999999998,1040.2812473250679,921.380920967399,-20.28124732506808,98.61907903260078,1,0
2020-06-01,934.9999999999995,958.2812492879532,698.3998628167903,-23.281249287953642,236.6001371832092,1,0
2020-07-01,692.0,786.1444557958861,647.0450635401799,-94.14445579588607,44.954936459820146,1,0
2020-08-01,1393.0000000000005,1238.3135484825425,1460.1844497405903,154.68645151745795,-67.1844497405898,1,0
2020-09-01,2032.0000000000007,1945.327547801992,2437.3333804173267,86.67245219800861,-405.333380417326,1,0
2020-10-01,2557.999999999999,2839.7778464158223,3287.6083410313913,-281.7778464158232,-729.6083410313922,1,0
2020-11-01,3421.0,2286.5327449832157,3965.8020498015453,1134.4672550167843,-544.8020498015453,1,0
2020-12-01,3314.999999999998,2924.4079104166663,2824.4377057856614,390.5920895833319,490.5622942143368,1,0
2021-01-01,1965.0,2415.4058362234578,1995.2551343663308,-450.40583622345775,-30.25513436633082,1,0
2021-02-01,2360.0000000000005,2336.5271651694507,2524.100273098851,23.4728348305498,-164.10027309885072,1,0
2021-03-01,2320.0000000000005,2065.211681347824,2378.5307687484074,254.78831865217626,-58.5307687484069,1,0
2021-04-01,1270.0000000000002,1482.0421536672552,1303.8534824836795,-212.04215366725498,-33.85348248367927,1,0
2021-05-01,1808.9999999999993,1898.2763116239494,2023.674184214768,-89.27631162395005,-214.67418421476873,1,0
2021-06-01,1494.9999999999993,1482.8422379541018,1792.6853685844499,12.15776204589747,-297.68536858445054,1,0
2021-07-01,2105.0,1993.1359290780165,2393.7215025118358,111.86407092198351,-288.72150251183575,1,0
2021-08-01,2236.000000000001,1613.5729158464492,1965.2592169999973,622.4270841535517,270.7407830000036,1,0
2021-09-01,3028.9999999999995,2739.162195934929,2630.6208917861636,289.8378040650705,398.37910821383593,1,0
2021-10-01,3789.0000000000005,2448.2301135060934,3216.158339879593,1340.769886493907,572.8416601204076,1,0
2021-11-01,4547.999999999996,2129.6525914414847,3713.7769665365086,2418.3474085585117,834.2230334634878,1,0
2021-12-01,3614.000000000001,1983.3455296895477,2063.0885238640035,1630.6544703104532,1550.9114761359974,0,1
2022-01-01,4616.000000000002,1970.637175862359,2755.22486406068,2645.3628241376427,1860.775135939322,0,1
2022-02-01,3541.0000000000014,1665.0064531916219,2983.0859456480403,1875.9935468083795,557.9140543519611,0,1
2022-03-01,4164.000000000002,1988.9465789249214,2803.990452446513,2175.05342107508,1360.009547553489,0,1
2022-04-01,3846.9999999999973,2057.308507440377,3027.4008451785185,1789.6914925596202,819.5991548214788,0,1
2022-05-01,5891.999999999997,2809.0236233589126,3485.8223785426835,3082.9763766410847,2406.1776214573138,0,1
2022-06-01,4830.999999999997,2445.316500476085,2927.6102996343548,2385.6834995239124,1903.3897003656425,0,1
2022-07-01,5631.999999999995,2357.107340318237,2616.0727194416363,3274.8926596817582,3015.927280558359,0,1
2022-08-01,7172.0000000000055,3442.7972916251074,2455.9172638758555,3729.202708374898,4716.08273612415,0,1
2022-09-01,9262.000000000007,2978.7003863590476,2736.56775578538,6283.29961364096,6525.432244214628,0,1
2022-10-01,13944.000000000002,3933.08226021209,3809.9110971471036,10010.917739787912,10134.088902852898,0,1
2022-11-01,16003.00000000001,3540.8502711190768,2960.776744331119,12462.149728880933,13042.22325566889,0,1
2022-12-01,15745.99999999999,3439.7343382913814,3557.3295165131726,12306.26566170861,12188.670483486818,0,1
