date,treated_levels,synthetic_origin_levels,synthetic_destination_levels,gap_vs_origin_levels,gap_vs_destination_levels,is_pre,is_post
2019-01-01,2574.0,2466.7085933977805,2608.1911959254517,107.29140660221947,-34.191195925451666,1,0
2019-02-01,2769.0,2739.2036501309326,2846.19815986299,29.7963498690674,-77.19815986299,1,0
2019-03-01,3140.0,3036.424375396036,3121.894049346225,103.57562460396412,18.105950653774926,1,0
2019-04-01,3077.0,2738.4486202474623,3155.8939506154775,338.55137975253774,-78.89395061547748,1,0
2019-05-01,2627.0,3349.096381045305,2765.8839983163775,-722.096381045305,-138.88399831637753,1,0
2019-06-01,2757.0,3658.4872644819393,2765.635787108249,-901.4872644819393,-8.635787108249133,1,0
2019-07-01,3545.0,3715.5069480727943,3213.9895433924503,-170.50694807279433,331.0104566075497,1,0
2019-08-01,3442.0,3685.288155369717,3296.9696187622562,-243.28815536971706,145.03038123774377,1,0
2019-09-01,4175.0,2796.432897082035,4191.751826939226,1378.5671029179648,-16.751826939225793,1,0
2019-10-01,3689.0,3240.842183673734,3972.928190407408,448.15781632626613,-283.9281904074078,1,0
2019-11-01,2833.0,3415.8366668111303,2627.578840993695,-582.8366668111303,205.42115900630506,1,0
2019-12-01,2751.0,2791.7423838826808,2277.226963956728,-40.74238388268077,473.773036043272,1,0
2020-01-01,2853.0,2703.9545074508096,2613.454580995104,149.04549254919039,239.54541900489585,1,0
2020-02-01,3680.0,3586.5723244269043,3466.244394664212,93.42767557309571,213.755605335788,1,0
2020-03-01,2633.0,2252.5843704659305,3103.609050091376,380.41562953406947,-470.60905009137605,1,0
2020-04-01,1323.0,1320.6891368315253,1186.8520424788214,2.310863168474725,136.14795752117857,1,0
2020-05-01,1020.0,1089.699160104009,820.8723327990836,-69.69916010400902,199.12766720091645,1,0
2020-06-01,935.0,996.9315074386293,589.8935662348445,-61.931507438629296,345.10643376515554,1,0
2020-07-01,692.0,810.1990343435061,555.7978188762318,-118.19903434350613,136.20218112376824,1,0
2020-08-01,1393.0,1324.304551923007,1385.8212362411286,68.69544807699299,7.178763758871355,1,0
2020-09-01,2032.0,2097.1580841566292,2212.3535256832906,-65.15808415662923,-180.35352568329063,1,0
2020-10-01,2558.0,2968.128125432422,3107.758331943939,-410.12812543242217,-549.7583319439391,1,0
2020-11-01,3421.0,2368.576460035311,3866.267637447135,1052.423539964689,-445.2676374471348,1,0
2020-12-01,3315.0,3236.4367038931127,2917.1684229585057,78.56329610688726,397.83157704149426,1,0
2021-01-01,1965.0,2515.902005448855,2004.4579112068993,-550.9020054488551,-39.457911206899325,1,0
2021-02-01,2360.0,2632.7964448948615,2464.76964117101,-272.79644489486145,-104.76964117100988,1,0
2021-03-01,2320.0,2216.03222495408,2527.64097670195,103.96777504592,-207.64097670194997,1,0
2021-04-01,1270.0,1517.7779662751514,1348.6820650084462,-247.77796627515136,-78.68206500844622,1,0
2021-05-01,1809.0,1856.5198151761986,2223.2334851470814,-47.51981517619856,-414.2334851470814,1,0
2021-06-01,1495.0,1400.0252512592865,2009.1105095717605,94.9747487407135,-514.1105095717605,1,0
2021-07-01,2105.0,1996.8742190286248,2442.78954251284,108.1257809713752,-337.78954251283994,1,0
2021-08-01,2236.0,1584.2218549982945,1895.6121012124195,651.7781450017055,340.3878987875805,1,0
2021-09-01,3029.0,2783.0903772243414,2661.9110861162985,245.9096227756586,367.0889138837015,1,0
2021-10-01,3789.0,2391.419548699713,3277.2393638589647,1397.5804513002872,511.7606361410353,1,0
2021-11-01,4548.0,2000.433654185874,3892.318272192066,2547.566345814126,655.6817278079338,1,0
2021-12-01,3614.0,1870.81972691153,2360.892376732254,1743.18027308847,1253.107623267746,0,1
2022-01-01,4616.0,2124.138467147267,3024.271372363689,2491.861532852733,1591.728627636311,0,1
2022-02-01,3541.0,1684.7835092365103,3088.5166213064977,1856.2164907634897,452.48337869350235,0,1
2022-03-01,4164.0,2118.0348896050605,2763.7195774275483,2045.9651103949395,1400.2804225724517,0,1
2022-04-01,3847.0,2180.257494377324,3269.7570261480223,1666.7425056226762,577.2429738519777,0,1
2022-05-01,5892.0,2900.0554858394803,3695.988948328537,2991.9445141605197,2196.011051671463,0,1
2022-06-01,4831.0,2591.287402085212,3047.2148264510975,2239.712597914788,1783.7851735489025,0,1
2022-07-01,5632.0,2624.3780367204913,2774.537918105356,3007.6219632795087,2857.462081894644,0,1
2022-08-01,7172.0,3686.9653600227984,2445.8878779169518,3485.0346399772016,4726.112122083048,0,1
2022-09-01,9262.0,2976.5594852671484,2589.703689733664,6285.440514732852,6672.296310266336,0,1
2022-10-01,13944.0,3688.1941494303674,3947.0418815412354,10255.805850569632,9996.958118458764,0,1
2022-11-01,16003.0,3345.912736022103,3064.133032113166,12657.087263977897,12938.866967886834,0,1
2022-12-01,15746.0,3380.949580372277,4127.1476378972875,12365.050419627723,11618.852362102713,0,1
