placebo_date,status,pre_rmspe,post_rmspe,mspe_ratio,cum_att_levels,pct_change_post,placebo_date_str
2020-12-01,optimal,164.1025362305307,794.0617982321293,23.41412968317148,6421.743167061657,0.23408606590783088,2020-12-01
2021-01-01,optimal,179.22739470949088,964.3223703313956,28.949142203157415,7319.1404669326075,0.2629298200193238,2021-01-01
2021-02-01,optimal,177.5908311208224,1045.477043838152,34.65675713455565,9285.157596291978,0.33829602180531954,2021-02-01
2021-03-01,optimal,174.1976302409873,1176.1309395638145,45.585514862768136,11302.46225234179,0.41501997856718703,2021-03-01
2021-04-01,optimal,171.2428999204549,1207.3648715182742,49.71093411949436,12208.730522909082,0.4383073314110894,2021-04-01
2021-05-01,optimal,168.15952786475387,1444.8698402350308,73.82687624823082,15082.112710452064,0.5094811382056369,2021-05-01
2021-06-01,optimal,165.91189578867233,1593.7264470645725,92.27254677776679,17661.75210876339,0.5878384552758125,2021-06-01
2021-07-01,optimal,164.65709022310327,1843.0825743709377,125.29354965971329,21224.67228924849,0.6931789126707629,2021-07-01
2021-08-01,optimal,163.67942262718816,2236.377458984896,186.68182747947776,25407.29042726597,0.8064856733333899,2021-08-01
2021-09-01,optimal,196.34999491049672,2779.613396883884,200.40428517344958,29650.182736056602,0.8647691766723778,2021-09-01
2021-10-01,optimal,210.49106175802672,3755.6014482791497,318.34034173917706,36015.7537675263,0.9273747403890702,2021-10-01
2021-11-01,optimal,243.05194686444779,5066.200531422858,434.47675279076935,45765.04993229442,1.1080870986568288,2021-11-01
