donor,weight,group
TR->IQ,0.26332939919393245,origin
PL->DE,0.2555604620280168,destination
TR->SY,0.13667060080606752,origin
BG->DE,0.12943355794175765,destination
GR->DE,0.1088191787022808,destination
IN->DE,0.07418097272882226,destination
US->DE,0.03200582859912262,destination
IT->DE,1.7166998199591794e-20,destination
BA->DE,0.0,destination
TR->US,0.0,origin
TR->PK,0.0,origin
TR->NL,0.0,origin
TR->AF,0.0,origin
TR->GR,0.0,origin
TR->GB,0.0,origin
TR->FR,0.0,origin
RS->DE,0.0,destination
ES->DE,0.0,destination
TR->UZ,0.0,origin
