unit,post_pre_mspe_ratio,is_treated
BA->DE,3.019841659184241,0
BG->DE,4.704476372632007,0
ES->DE,5.385293085416048,0
GR->DE,0.3730846434856993,0
IN->DE,3.6421283656607044,0
IT->DE,7.352408745643842,0
PL->DE,4.041346965854408,0
RO->DE,2.787759170634308,0
RS->DE,2.7790190615143504,0
US->DE,7.898156458677139,0
TR->AF,7.949445396572602,0
TR->FR,10.322933693022403,0
TR->GB,8.508222980191332,0
TR->GR,4.292528867291933,0
TR->IQ,0.8034849551528125,0
TR->NL,0.24426490788610636,0
TR->PK,1.0433343951930758,0
TR->SY,0.74137224424681,0
TR->US,1.7749122038735548,0
TR->UZ,2.0103154432789596,0
__treated__,61.81301992087633,1
