date,share,pretrend_projection,is_pre,is_post,beta_post,p_post,beta_trend,p_trend
2019-01-01,0.046944246867647865,0.04818072977451584,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-02-01,0.04724369145723499,0.04817471017527431,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-03-01,0.05019743257717456,0.04816869057603279,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-04-01,0.046413756693566635,0.048162670976791264,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-05-01,0.044702719259435725,0.048156651377549736,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-06-01,0.04606285399228109,0.048150631778308216,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-07-01,0.0514424193173903,0.04814461217906669,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-08-01,0.04733028065398842,0.04813859257982517,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-09-01,0.0538855689928884,0.04813257298058364,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-10-01,0.052665391314279185,0.04812655338134211,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-11-01,0.053037536272582606,0.04812053378210059,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2019-12-01,0.0514937106918239,0.048114514182859065,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-01-01,0.05095188770225381,0.04810849458361754,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-02-01,0.04924723987955838,0.04810247498437602,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-03-01,0.03606898724640063,0.04809645538513449,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-04-01,0.044798862251117434,0.04809043578589297,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-05-01,0.04765909728062798,0.04808441618665144,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-06-01,0.05672855236015047,0.048078396587409915,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-07-01,0.04611796067977341,0.048072376988168394,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-08-01,0.04974822327774008,0.04806635738892687,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-09-01,0.04224707888061874,0.04806033778968534,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-10-01,0.038883653056881406,0.04805431819044382,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-11-01,0.046852102934932964,0.04804829859120229,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2020-12-01,0.05934054131462122,0.04804227899196077,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2021-01-01,0.04842048198708787,0.048036259392719244,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2021-02-01,0.04903998005153354,0.048030239793477716,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
2021-03-01,0.04804108340926033,0.048024220194236196,1,0,0.01994852576356547,0.263014927510166,0.000368731106046727,0.27927160113188176
