date,treated_levels,synthetic_levels,is_pre,is_post
2019-01-01,2574.000000000001,2709.0232295882993,1,0
2019-02-01,2769.000000000001,2856.2725667047757,1,0
2019-03-01,3140.0000000000014,2982.32260850327,1,0
2019-04-01,3076.999999999998,3128.7913174923806,1,0
2019-05-01,2626.999999999999,2831.788543729929,1,0
2019-06-01,2757.0000000000005,2951.331905765454,1,0
2019-07-01,3544.9999999999995,3376.9749161093514,1,0
2019-08-01,3442.0000000000027,3496.45943503676,1,0
2019-09-01,4174.999999999999,3888.4956215651696,1,0
2019-10-01,3688.9999999999973,3583.817933299124,1,0
2019-11-01,2833.000000000001,2544.7885429388084,1,0
2019-12-01,2751.0,2278.0748117191174,1,0
2020-01-01,2853.0000000000005,2743.328240716564,1,0
2020-02-01,3680.0000000000005,3520.718674299842,1,0
2020-03-01,2632.999999999999,3314.189183839014,1,0
2020-04-01,1323.0000000000002,1311.4089996612915,1,0
2020-05-01,1019.9999999999998,921.380920967399,1,0
2020-06-01,934.9999999999995,698.3998628167903,1,0
2020-07-01,692.0,647.0450635401799,1,0
2020-08-01,1393.0000000000005,1460.1844497405903,1,0
2020-09-01,2032.0000000000007,2437.3333804173267,1,0
2020-10-01,2557.999999999999,3287.6083410313913,1,0
2020-11-01,3421.0,3965.8020498015453,1,0
2020-12-01,3314.999999999998,2824.4377057856614,1,0
2021-01-01,1965.0,1995.2551343663308,1,0
2021-02-01,2360.0000000000005,2524.100273098851,1,0
2021-03-01,2320.0000000000005,2378.5307687484074,1,0
2021-04-01,1270.0000000000002,1303.8534824836795,1,0
2021-05-01,1808.9999999999993,2023.674184214768,1,0
2021-06-01,1494.9999999999993,1792.6853685844499,1,0
2021-07-01,2105.0,2393.7215025118358,1,0
2021-08-01,2236.000000000001,1965.2592169999973,1,0
2021-09-01,3028.9999999999995,2630.6208917861636,1,0
2021-10-01,3789.0000000000005,3216.158339879593,1,0
2021-11-01,4547.999999999996,3713.7769665365086,1,0
2021-12-01,3614.000000000001,2063.0885238640035,0,1
2022-01-01,4616.000000000002,2755.22486406068,0,1
2022-02-01,3541.0000000000014,2983.0859456480403,0,1
2022-03-01,4164.000000000002,2803.990452446513,0,1
2022-04-01,3846.9999999999973,3027.4008451785185,0,1
2022-05-01,5891.999999999997,3485.8223785426835,0,1
2022-06-01,4830.999999999997,2927.6102996343548,0,1
2022-07-01,5631.999999999995,2616.0727194416363,0,1
2022-08-01,7172.0000000000055,2455.9172638758555,0,1
2022-09-01,9262.000000000007,2736.56775578538,0,1
2022-10-01,13944.000000000002,3809.9110971471036,0,1
2022-11-01,16003.00000000001,2960.776744331119,0,1
2022-12-01,15745.99999999999,3557.3295165131726,0,1
