date,treated_levels,synthetic_levels,is_pre,is_post
2019-01-01,2574.0,2608.1911959254517,1,0
2019-02-01,2769.0,2846.19815986299,1,0
2019-03-01,3140.0,3121.894049346225,1,0
2019-04-01,3077.0,3155.8939506154775,1,0
2019-05-01,2627.0,2765.8839983163775,1,0
2019-06-01,2757.0,2765.635787108249,1,0
2019-07-01,3545.0,3213.9895433924503,1,0
2019-08-01,3442.0,3296.9696187622562,1,0
2019-09-01,4175.0,4191.751826939226,1,0
2019-10-01,3689.0,3972.928190407408,1,0
2019-11-01,2833.0,2627.578840993695,1,0
2019-12-01,2751.0,2277.226963956728,1,0
2020-01-01,2853.0,2613.454580995104,1,0
2020-02-01,3680.0,3466.244394664212,1,0
2020-03-01,2633.0,3103.609050091376,1,0
2020-04-01,1323.0,1186.8520424788214,1,0
2020-05-01,1020.0,820.8723327990836,1,0
2020-06-01,935.0,589.8935662348445,1,0
2020-07-01,692.0,555.7978188762318,1,0
2020-08-01,1393.0,1385.8212362411286,1,0
2020-09-01,2032.0,2212.3535256832906,1,0
2020-10-01,2558.0,3107.758331943939,1,0
2020-11-01,3421.0,3866.267637447135,1,0
2020-12-01,3315.0,2917.1684229585057,1,0
2021-01-01,1965.0,2004.4579112068993,1,0
2021-02-01,2360.0,2464.76964117101,1,0
2021-03-01,2320.0,2527.64097670195,1,0
2021-04-01,1270.0,1348.6820650084462,1,0
2021-05-01,1809.0,2223.2334851470814,1,0
2021-06-01,1495.0,2009.1105095717605,1,0
2021-07-01,2105.0,2442.78954251284,1,0
2021-08-01,2236.0,1895.6121012124195,1,0
2021-09-01,3029.0,2661.9110861162985,1,0
2021-10-01,3789.0,3277.2393638589647,1,0
2021-11-01,4548.0,3892.318272192066,1,0
2021-12-01,3614.0,2360.892376732254,0,1
2022-01-01,4616.0,3024.271372363689,0,1
2022-02-01,3541.0,3088.5166213064977,0,1
2022-03-01,4164.0,2763.7195774275483,0,1
2022-04-01,3847.0,3269.7570261480223,0,1
2022-05-01,5892.0,3695.988948328537,0,1
2022-06-01,4831.0,3047.2148264510975,0,1
2022-07-01,5632.0,2774.537918105356,0,1
2022-08-01,7172.0,2445.8878779169518,0,1
2022-09-01,9262.0,2589.703689733664,0,1
2022-10-01,13944.0,3947.0418815412354,0,1
2022-11-01,16003.0,3064.133032113166,0,1
2022-12-01,15746.0,4127.1476378972875,0,1
