placebo_date,status,pre_rmspe,post_rmspe,mspe_ratio,cum_att_levels,pct_change_post,placebo_date_str
2020-12-01,optimal,0.07388031329471362,0.24153283908051745,10.687962358596199,4348.861701384198,0.1473883724590355,2020-12-01
2021-01-01,optimal,0.07793168323834133,0.2614003474624347,11.250820808190351,4821.101551240041,0.15892921347284483,2021-01-01
2021-02-01,optimal,0.07805532380780787,0.2904727842728387,13.848598861936816,7373.561270862861,0.2511564507531145,2021-02-01
2021-03-01,optimal,0.0767098870279307,0.3274525714099475,18.22191951290998,9455.559738113869,0.3251518771023101,2021-03-01
2021-04-01,optimal,0.07562625262764745,0.32373629208811017,18.324731255502023,9748.236118114415,0.32156727844215277,2021-04-01
2021-05-01,optimal,0.07487112356032251,0.3742971821631992,24.99219577479101,13068.180844876952,0.41333003110654293,2021-05-01
2021-06-01,optimal,0.0748766725594506,0.4292304818898646,32.86154957473024,16254.521580598397,0.5167962080397366,2021-06-01
2021-07-01,optimal,0.07408952646516906,0.4943116880174474,44.51312871438584,19857.331014867013,0.6208002159929958,2021-07-01
2021-08-01,optimal,0.07289333616919144,0.5537072874584161,57.701197173456144,24067.869505226125,0.7328128939796374,2021-08-01
2021-09-01,optimal,0.0817445621195671,0.6072591087074601,55.18617985275282,28519.726730900555,0.8052490804192765,2021-09-01
2021-10-01,optimal,0.08130336310643592,0.675705901408519,69.07142290404987,37249.82915711019,0.9906297514775995,2021-10-01
2021-11-01,optimal,0.08852448547692204,0.7253246309785065,67.13330511439139,45415.1909483095,1.0903795624221182,2021-11-01
