unit,post_pre_mspe_ratio,is_treated
BA->DE,4.11264075551583,0
BG->DE,4.0412953550097495,0
ES->DE,11.320417281379102,0
GR->DE,0.5329803499395559,0
IN->DE,3.4695243918457037,0
IT->DE,9.074703278992962,0
PL->DE,9.093076174781569,0
RO->DE,1.4676050338666222,0
RS->DE,6.745002692692052,0
US->DE,2.825114214401997,0
TR->AF,11.748107688222916,0
TR->FR,21.484839557344724,0
TR->GB,8.571220002542542,0
TR->GR,9.901150820091091,0
TR->IQ,0.6282924294868664,0
TR->NL,2.6957092761016828,0
TR->PK,1.8249739620982153,0
TR->SY,0.19206568777154281,0
TR->US,7.815469721370819,0
TR->UZ,6.291004547997558,0
__treated__,431.08116095865734,1
