treated_levels,synthetic_levels
2574.000000000001,2549.3919486925856
2769.000000000001,2800.571570621571
3140.0000000000014,3056.096439203005
3076.999999999998,2939.929088108295
2626.999999999999,2945.893552677077
2757.0000000000005,3116.2354602507876
3544.9999999999995,3723.671548894028
3442.0000000000027,3718.047450843611
4174.999999999999,3790.4264912551066
3688.9999999999973,3526.1512921060985
2833.000000000001,2871.746694109543
2751.0,2413.6207241842703
2853.0000000000005,2735.7878779375546
3680.0000000000005,3440.664959374715
2632.999999999999,3109.3756785112896
1323.0000000000002,1358.5006738029492
1019.9999999999998,956.9582084555153
934.9999999999995,775.919900521212
692.0,656.6501969732958
1393.0000000000005,1430.1348462493702
2032.0000000000007,2187.1332795270223
2557.999999999999,3052.1584926603923
3421.0,3318.5583275056283
3314.999999999998,2826.6455688095693
1965.0,1942.5796098784335
2360.0000000000005,2364.214380040353
2320.0000000000005,2176.529870477126
1270.0000000000002,1290.6605361060695
1808.9999999999993,1988.7412602020527
1494.9999999999993,1687.9616079118143
2105.0,2374.4993826552136
2236.000000000001,1960.5653387378968
3028.9999999999995,2979.5300036144517
3789.0000000000005,3337.58176337957
4547.999999999996,3611.3327715298874
