date,treated,synthetic,on_model_scale_treated,on_model_scale_synth,is_pre,is_post
2019-01-01,2574.000000000001,2549.3919486925856,7.853604813097837,7.844002331710653,1,0
2019-02-01,2769.000000000001,2800.571570621571,7.926602599181384,7.937935813929262,1,0
2019-03-01,3140.0000000000014,3056.096439203005,8.052296499538647,8.02522086840109,1,0
2019-04-01,3076.999999999998,2939.929088108295,8.032035314398824,7.986480826773439,1,0
2019-05-01,2626.999999999999,2945.893552677077,7.873978379604501,7.988506861514268,1,0
2019-06-01,2757.0000000000005,3116.2354602507876,7.922261058353247,8.044701817578638,1,0
2019-07-01,3544.9999999999995,3723.671548894028,8.173575486634153,8.222733952132485,1,0
2019-08-01,3442.0000000000027,3718.047450843611,8.144098463338524,8.221222852876643,1,0
2019-09-01,4174.999999999999,3790.4264912551066,8.337109129562474,8.240497610179105,1,0
2019-10-01,3688.9999999999973,3526.1512921060985,8.213381737034572,8.16824582472466,1,0
2019-11-01,2833.000000000001,2871.746694109543,7.949444420250626,7.963023887361532,1,0
2019-12-01,2751.0,2413.6207241842703,7.920083199053234,7.789297503725809,1,0
2020-01-01,2853.0000000000005,2735.7878779375546,7.956476798036782,7.914540204370319,1,0
2020-02-01,3680.0000000000005,3440.664959374715,8.210939733379021,8.143710633095543,1,0
2020-03-01,2632.999999999999,3109.3756785112896,7.876258882303226,8.042498794826884,1,0
2020-04-01,1323.0000000000002,1358.5006738029492,7.188412736496954,7.214872759697963,1,0
2020-05-01,1019.9999999999998,956.9582084555153,6.928537818164665,6.864804153277684,1,0
2020-06-01,934.9999999999995,775.919900521212,6.841615476477592,6.655337256921412,1,0
2020-07-01,692.0,656.6501969732958,6.541029999189903,6.48867317442557,1,0
2020-08-01,1393.0000000000005,1430.1348462493702,7.2399325913204695,7.266223007296731,1,0
2020-09-01,2032.0000000000007,2187.1332795270223,7.617267813628347,7.6908040755473115,1,0
2020-10-01,2557.999999999999,3052.1584926603923,7.847371836159788,8.023931905131393,1,0
2020-11-01,3421.0,3318.5583275056283,8.137980454452139,8.107587019176895,1,0
2020-12-01,3314.999999999998,2826.6455688095693,8.106514516255185,7.947199689886835,1,0
2021-01-01,1965.0,1942.5796098784335,7.583756300707112,7.572286711572434,1,0
2021-02-01,2360.0000000000005,2364.214380040353,7.766840537085513,7.76862394376937,1,0
2021-03-01,2320.0000000000005,2176.529870477126,7.749753406274437,7.685946426417702,1,0
2021-04-01,1270.0000000000002,1290.6605361060695,7.147559271189454,7.163683906867612,1,0
2021-05-01,1808.9999999999993,1988.7412602020527,7.501082124259871,7.595759889266237,1,0
2021-06-01,1494.9999999999993,1687.9616079118143,7.310550158534422,7.431869185887415,1,0
2021-07-01,2105.0,2374.4993826552136,7.652545692693921,7.772962960747007,1,0
2021-08-01,2236.000000000001,1960.5653387378968,7.71289096149013,7.581498075692781,1,0
2021-09-01,3028.9999999999995,2979.5300036144517,8.016317898503415,7.999856417247277,1,0
2021-10-01,3789.0000000000005,3337.58176337957,8.240121298076472,8.113301374050762,1,0
2021-11-01,4547.999999999996,3611.3327715298874,8.422662707570003,8.192109039731173,1,0
2021-12-01,3614.000000000001,2544.9630621615224,8.192847134592865,7.842264270827316,0,1
2022-01-01,4616.000000000002,3122.6908192560895,8.43750042250699,8.046770536553478,0,1
2022-02-01,3541.0000000000014,2968.4194279547446,8.17244681834278,7.996121733885158,0,1
2022-03-01,4164.000000000002,3090.2205845460485,8.334471554600944,8.036321303075365,0,1
2022-04-01,3846.9999999999973,3073.2850929613614,8.255308811785596,8.03082766311674,0,1
2022-05-01,5891.999999999997,3828.6361358152058,8.681520484837913,8.250525073957952,0,1
2022-06-01,4830.999999999997,3386.679214244557,8.48301573961465,8.127900368362598,0,1
2022-07-01,5631.999999999995,3003.7690767582353,8.636397438894713,8.007955997679783,0,1
2022-08-01,7172.0000000000055,3161.056430874995,8.878079256126435,8.058977864186701,0,1
2022-09-01,9262.000000000007,3444.046863916548,9.133783249254028,8.144692786814318,0,1
2022-10-01,13944.000000000002,4710.294849781488,9.54287630006159,8.457718064256168,0,1
2022-11-01,16003.00000000001,3770.4796109758895,9.680593969977126,8.235222673200825,0,1
2022-12-01,15745.99999999999,4215.781754103449,9.664405149920409,8.346827498578365,0,1
