date,treated_levels,synthetic_levels,is_pre,is_post
2019-01-01,2574.0,2466.7085933977805,1,0
2019-02-01,2769.0,2739.2036501309326,1,0
2019-03-01,3140.0,3036.424375396036,1,0
2019-04-01,3077.0,2738.4486202474623,1,0
2019-05-01,2627.0,3349.096381045305,1,0
2019-06-01,2757.0,3658.4872644819393,1,0
2019-07-01,3545.0,3715.5069480727943,1,0
2019-08-01,3442.0,3685.288155369717,1,0
2019-09-01,4175.0,2796.432897082035,1,0
2019-10-01,3689.0,3240.842183673734,1,0
2019-11-01,2833.0,3415.8366668111303,1,0
2019-12-01,2751.0,2791.7423838826808,1,0
2020-01-01,2853.0,2703.9545074508096,1,0
2020-02-01,3680.0,3586.5723244269043,1,0
2020-03-01,2633.0,2252.5843704659305,1,0
2020-04-01,1323.0,1320.6891368315253,1,0
2020-05-01,1020.0,1089.699160104009,1,0
2020-06-01,935.0,996.9315074386293,1,0
2020-07-01,692.0,810.1990343435061,1,0
2020-08-01,1393.0,1324.304551923007,1,0
2020-09-01,2032.0,2097.1580841566292,1,0
2020-10-01,2558.0,2968.128125432422,1,0
2020-11-01,3421.0,2368.576460035311,1,0
2020-12-01,3315.0,3236.4367038931127,1,0
2021-01-01,1965.0,2515.902005448855,1,0
2021-02-01,2360.0,2632.7964448948615,1,0
2021-03-01,2320.0,2216.03222495408,1,0
2021-04-01,1270.0,1517.7779662751514,1,0
2021-05-01,1809.0,1856.5198151761986,1,0
2021-06-01,1495.0,1400.0252512592865,1,0
2021-07-01,2105.0,1996.8742190286248,1,0
2021-08-01,2236.0,1584.2218549982945,1,0
2021-09-01,3029.0,2783.0903772243414,1,0
2021-10-01,3789.0,2391.419548699713,1,0
2021-11-01,4548.0,2000.433654185874,1,0
2021-12-01,3614.0,1870.81972691153,0,1
2022-01-01,4616.0,2124.138467147267,0,1
2022-02-01,3541.0,1684.7835092365103,0,1
2022-03-01,4164.0,2118.0348896050605,0,1
2022-04-01,3847.0,2180.257494377324,0,1
2022-05-01,5892.0,2900.0554858394803,0,1
2022-06-01,4831.0,2591.287402085212,0,1
2022-07-01,5632.0,2624.3780367204913,0,1
2022-08-01,7172.0,3686.9653600227984,0,1
2022-09-01,9262.0,2976.5594852671484,0,1
2022-10-01,13944.0,3688.1941494303674,0,1
2022-11-01,16003.0,3345.912736022103,0,1
2022-12-01,15746.0,3380.949580372277,0,1
