placebo_date,status,pre_rmspe,post_rmspe,mspe_ratio,cum_att_levels,pct_change_post,placebo_date_str
2020-09-01,optimal,0.07153347439935577,0.2577269532324358,12.980787505067438,6264.701824545278,0.17596835356033366,2020-09-01
2020-10-01,optimal,0.07028467455849446,0.28572434159392257,16.526207625533555,8145.26848761896,0.2243583177261942,2020-10-01
2020-11-01,optimal,0.0716729916689975,0.30271725951086514,17.838704072875785,9783.54551427051,0.27443745368353034,2020-11-01
2020-12-01,optimal,0.07873838965816705,0.3506396292427611,19.831197509030076,12038.595780223754,0.35265117707015453,2020-12-01
2021-01-01,optimal,0.085151695896593,0.4258825751363192,25.014575600371323,15195.306034617413,0.48219635082007917,2021-01-01
2021-02-01,optimal,0.08345908875423275,0.4715664705551914,31.92556259643125,18552.79182547932,0.5782891166516939,2021-02-01
2021-03-01,optimal,0.08318384416101889,0.45568844899979694,30.009452149555074,18892.9959950239,0.5522168118378619,2021-03-01
2021-04-01,optimal,0.08520760874172718,0.41746778614089664,24.00430756086883,17881.49477623026,0.4640144370227107,2021-04-01
2021-05-01,optimal,0.08426026444824487,0.49507511973138546,34.52204916006644,23298.013449788086,0.5970483696366701,2021-05-01
2021-06-01,optimal,0.08308613646258038,0.5811810240779799,48.92893045200218,30167.358902866326,0.7616934877756489,2021-06-01
2021-07-01,optimal,0.08170243899372051,0.6626961399932046,65.78984135704334,40177.55486137353,0.9555972192973997,2021-07-01
2021-08-01,optimal,0.08061024177932363,0.7958565989116694,97.47409140474558,54026.189177196706,1.2834710880567106,2021-08-01
